cep	status	bairro_sugerido	bairro_principal	clientes_total	clientes_alterar	clientes_provaveis	clientes_excecao	confianca	alteraveis	provaveis	excecoes	todas_variacoes
74440480	SEGURO	SAO JOSE	Setor São José	8	8	0	0	37.5	Setor São José (3) | SETOR SÃO JOSÉ (3) | SAO JOSE (1) | VILA SÃO JOSE (1)			Setor São José (3) | SETOR SÃO JOSÉ (3) | SAO JOSE (1) | VILA SÃO JOSE (1)
74440485	SEGURO	SAO JOSE	Setor São José	3	3	0	0	66.67	Setor São José (2) | SETOR SÃO JOSÉ (1)			Setor São José (2) | SETOR SÃO JOSÉ (1)
74440500	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	3	3	0	0	33.33	SETOR SÃO JOSÉ (1) | Setor São José (1) | VILA SÃO JOSÉ (1)			SETOR SÃO JOSÉ (1) | Setor São José (1) | VILA SÃO JOSÉ (1)
74440510	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	2	2	0	0	50.0	SETOR SÃO JOSÉ (1) | VILA SÃO JOSÉ (1)			SETOR SÃO JOSÉ (1) | VILA SÃO JOSÉ (1)
74440520	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	2	2	0	0	50.0	SETOR SÃO JOSÉ (1) | Setor São José (1)			SETOR SÃO JOSÉ (1) | Setor São José (1)
74440530	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	7	7	0	0	42.86	SETOR SÃO JOSÉ (3) | SÃO JOSE (1) | SÃO JOSÉ (1) | Setor São José (1) | VILA SAO JOSE (1)			SETOR SÃO JOSÉ (3) | SÃO JOSE (1) | SÃO JOSÉ (1) | Setor São José (1) | VILA SAO JOSE (1)
74440540	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	2	2	0	0	100.0	SETOR SÃO JOSÉ (2)			SETOR SÃO JOSÉ (2)
74440550	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	11	11	0	0	36.36	SETOR SÃO JOSÉ (4) | VILA SÃO JOSE (2) | SÃO JOSE (1) | SAO JOSE (1) | Setor são José (1) | Setor São José (1) | Vila São José (1)			SETOR SÃO JOSÉ (4) | VILA SÃO JOSE (2) | SÃO JOSE (1) | SAO JOSE (1) | Setor são José (1) | Setor São José (1) | Vila São José (1)
74440560	SEGURO	SAO JOSE	Setor São José	7	7	0	0	42.86	Setor São José (3) | SETOR SÃO JOSÉ (2) | SAO JOSE (1) | Vila são José (1)			Setor São José (3) | SETOR SÃO JOSÉ (2) | SAO JOSE (1) | Vila são José (1)
74440590	SEGURO	SAO JOSE	Vila São José	6	6	0	0	33.33	Vila São José (2) | Vila são José (2) | SETOR SÃO JOSÉ (1) | VILA SÃO JOSE (1)			Vila São José (2) | Vila são José (2) | SETOR SÃO JOSÉ (1) | VILA SÃO JOSE (1)
74440600	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	4	4	0	0	100.0	SETOR SÃO JOSÉ (4)			SETOR SÃO JOSÉ (4)
74440610	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	6	6	0	0	66.67	SETOR SÃO JOSÉ (4) | Setor São José (1) | SETOR SÃO JOSE (1)			SETOR SÃO JOSÉ (4) | Setor São José (1) | SETOR SÃO JOSE (1)
74440620	SEGURO	SAO JOSE	VILA SÃO JOSE	1	1	0	0	100.0	VILA SÃO JOSE (1)			VILA SÃO JOSE (1)
74440630	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	5	5	0	0	40.0	SETOR SÃO JOSÉ (2) | VILA SÃO JOSE (1) | VILA SÃO JOSÉ (1) | Vila São José (1)			SETOR SÃO JOSÉ (2) | VILA SÃO JOSE (1) | VILA SÃO JOSÉ (1) | Vila São José (1)
74440640	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	11	11	0	0	54.55	SETOR SÃO JOSÉ (6) | Setor São José (2) | SETOR SÃO JOSE (1) | VILA SÃO JOSÉ (1) | VILA SÃO JOSE (1)			SETOR SÃO JOSÉ (6) | Setor São José (2) | SETOR SÃO JOSE (1) | VILA SÃO JOSÉ (1) | VILA SÃO JOSE (1)
74440650	SEGURO	SAO JOSE	SETOR SÃO JOSE	2	2	0	0	50.0	SETOR SÃO JOSE (1) | SETOR SÃO JOSÉ (1)			SETOR SÃO JOSE (1) | SETOR SÃO JOSÉ (1)
74440660	SEGURO	SAO JOSE	VILA SÃO JOSÉ	1	1	0	0	100.0	VILA SÃO JOSÉ (1)			VILA SÃO JOSÉ (1)
74440670	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	5	5	0	0	80.0	SETOR SÃO JOSÉ (4) | VILA SÃO JOSÉ (1)			SETOR SÃO JOSÉ (4) | VILA SÃO JOSÉ (1)
74440690	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	1	1	0	0	100.0	SETOR SÃO JOSÉ (1)			SETOR SÃO JOSÉ (1)
74440700	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	3	3	0	0	33.33	SETOR SÃO JOSÉ (1) | Setor São José (1) | VILA SÃO JOSÉ (1)			SETOR SÃO JOSÉ (1) | Setor São José (1) | VILA SÃO JOSÉ (1)
74440710	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	2	2	0	0	50.0	SETOR SÃO JOSÉ (1) | VILA SÃO JOSE (1)			SETOR SÃO JOSÉ (1) | VILA SÃO JOSE (1)
74440730	SEGURO	SAO JOSE	Setor São José	1	1	0	0	100.0	Setor São José (1)			Setor São José (1)
74440735	SEGURO	SAO JOSE	SETOR SÃO JOSÉ	3	3	0	0	66.67	SETOR SÃO JOSÉ (2) | Setor São José (1)			SETOR SÃO JOSÉ (2) | Setor São José (1)
74440740	SEGURO	SAO JOSE	VILA SÃO JOSÉ	1	1	0	0	100.0	VILA SÃO JOSÉ (1)			VILA SÃO JOSÉ (1)
74440810	SEGURO	SAO JOSE	VILA SÃO JOSÉ	2	2	0	0	50.0	VILA SÃO JOSÉ (1) | VILA SAO JOSE (1)			VILA SÃO JOSÉ (1) | VILA SAO JOSE (1)
74440820	SEGURO	SAO JOSE EXTENSAO	Vila são José extensão	1	1	0	0	100.0	Vila são José extensão (1)			Vila são José extensão (1)
74440840	SEGURO	SAO JOSE EXTENSAO	Vila São José Extensão	1	1	0	0	100.0	Vila São José Extensão (1)			Vila São José Extensão (1)
74440920	SEGURO	SAO JOSE	VILA SÃO JOSE	1	1	0	0	100.0	VILA SÃO JOSE (1)			VILA SÃO JOSE (1)
74441010	SEGURO	SAO JOSE	SETOR SÃO JOSE	2	2	0	0	50.0	SETOR SÃO JOSE (1) | VILA SÃO JOSE (1)			SETOR SÃO JOSE (1) | VILA SÃO JOSE (1)
74445010	SEGURO	JOAO VAZ	VILA JOÃO VAZ	15	15	0	0	73.33	VILA JOÃO VAZ (11) | Vila João Vaz (3) | VILA JOAO VAZ (1)			VILA JOÃO VAZ (11) | Vila João Vaz (3) | VILA JOAO VAZ (1)
74445020	SEGURO	JOAO VAZ	VILA JOÃO VAZ	14	14	0	0	85.71	VILA JOÃO VAZ (12) | VILA JOAO VAZ (1) | Vila João Vaz (1)			VILA JOÃO VAZ (12) | VILA JOAO VAZ (1) | Vila João Vaz (1)
74445040	SEGURO	JOAO VAZ	VILA JOÃO VAZ	13	13	0	0	76.92	VILA JOÃO VAZ (10) | Vila João Vaz (2) | VILA JOAO VAZ (1)			VILA JOÃO VAZ (10) | Vila João Vaz (2) | VILA JOAO VAZ (1)
74445050	SEGURO	JOAO VAZ	VILA JOÃO VAZ	10	10	0	0	60.0	VILA JOÃO VAZ (6) | Vila João Vaz (4)			VILA JOÃO VAZ (6) | Vila João Vaz (4)
74445060	SEGURO	JOAO VAZ	VILA JOÃO VAZ	4	4	0	0	100.0	VILA JOÃO VAZ (4)			VILA JOÃO VAZ (4)
74445070	SEGURO	JOAO VAZ	VILA JOAO VAZ	1	1	0	0	100.0	VILA JOAO VAZ (1)			VILA JOAO VAZ (1)
74445090	SEGURO	JOAO VAZ	VILA JOÃO VAZ	26	26	0	0	76.92	VILA JOÃO VAZ (20) | Vila João Vaz (4) | VILA JOAO VAZ (2)			VILA JOÃO VAZ (20) | Vila João Vaz (4) | VILA JOAO VAZ (2)
74445100	SEGURO	JOAO VAZ	VILA JOÃO VAZ	2	2	0	0	100.0	VILA JOÃO VAZ (2)			VILA JOÃO VAZ (2)
74445110	SEGURO	JOAO VAZ	VILA JOÃO VAZ	23	23	0	0	78.26	VILA JOÃO VAZ (18) | Vila João Vaz (5)			VILA JOÃO VAZ (18) | Vila João Vaz (5)
74445120	SEGURO	SANTOS DUMONT	SANTOS DUMONT	2	2	0	0	100.0	SANTOS DUMONT (2)			SANTOS DUMONT (2)
74445130	SEGURO	JOAO VAZ	VILA JOÃO VAZ	3	3	0	0	100.0	VILA JOÃO VAZ (3)			VILA JOÃO VAZ (3)
74445140	SEGURO	JOAO VAZ	VILA JOÃO VAZ	6	6	0	0	66.67	VILA JOÃO VAZ (4) | VILA JOAO VAZ (1) | Vila João Vaz (1)			VILA JOÃO VAZ (4) | VILA JOAO VAZ (1) | Vila João Vaz (1)
74445160	BLOQUEADO	JOAO VAZ	VILA JOÃO VAZ	27	26	0	1	70.37	VILA JOÃO VAZ (19) | Vila João Vaz (5) | VILA JOAO VAZ (2)		CAPUAVA (1) [25.0%]	VILA JOÃO VAZ (19) | Vila João Vaz (5) | VILA JOAO VAZ (2) | CAPUAVA (1)
74445170	SEGURO	JOAO VAZ	VILA JOÃO VAZ	7	7	0	0	57.14	VILA JOÃO VAZ (4) | Vila João Vaz (2) | VILA JOAO VAZ (1)			VILA JOÃO VAZ (4) | Vila João Vaz (2) | VILA JOAO VAZ (1)
74445172	SEGURO	JOAO VAZ	VILA JOÃO VAZ	1	1	0	0	100.0	VILA JOÃO VAZ (1)			VILA JOÃO VAZ (1)
74445180	SEGURO	JOAO VAZ	VILA JOÃO VAZ	2	2	0	0	100.0	VILA JOÃO VAZ (2)			VILA JOÃO VAZ (2)
74445190	REVISAR	JOAO VAZ	VILA JOÃO VAZ	5	4	0	1	80.0	VILA JOÃO VAZ (4)		SETOR NOROESTE (1) [25.0%]	VILA JOÃO VAZ (4) | SETOR NOROESTE (1)
74445200	SEGURO	JOAO VAZ	VILA JOÃO VAZ	3	3	0	0	100.0	VILA JOÃO VAZ (3)			VILA JOÃO VAZ (3)
74445210	SEGURO	JOAO VAZ	VILA JOÃO VAZ	7	7	0	0	57.14	VILA JOÃO VAZ (4) | VILA JOAO VAZ (2) | Vila João Vaz (1)			VILA JOÃO VAZ (4) | VILA JOAO VAZ (2) | Vila João Vaz (1)
74445220	SEGURO	JOAO VAZ	VILA JOÃO VAZ	3	3	0	0	66.67	VILA JOÃO VAZ (2) | VILA JOAO VAZ (1)			VILA JOÃO VAZ (2) | VILA JOAO VAZ (1)
74445230	SEGURO	JOAO VAZ	VILA JOÃO VAZ	18	18	0	0	83.33	VILA JOÃO VAZ (15) | JOÃO VAZ (1) | VILA JOAO VAZ (1) | Vila João Vaz (1)			VILA JOÃO VAZ (15) | JOÃO VAZ (1) | VILA JOAO VAZ (1) | Vila João Vaz (1)
74445240	SEGURO	JOAO VAZ	VILA JOÃO VAZ	8	8	0	0	75.0	VILA JOÃO VAZ (6) | Vila João Vaz (2)			VILA JOÃO VAZ (6) | Vila João Vaz (2)
74445250	SEGURO	JOAO VAZ	VILA JOÃO VAZ	13	13	0	0	92.31	VILA JOÃO VAZ (12) | VILA JOAO VAZ (1)			VILA JOÃO VAZ (12) | VILA JOAO VAZ (1)
74445260	BLOQUEADO	JOAO VAZ	VILA JOÃO VAZ	12	11	0	1	58.33	VILA JOÃO VAZ (7) | VILA JOAO VAZ (2) | Vila João Vaz (2)		CAPUAVA (1) [25.0%]	VILA JOÃO VAZ (7) | VILA JOAO VAZ (2) | Vila João Vaz (2) | CAPUAVA (1)
74445300	BLOQUEADO	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVE	2	1	0	1	50.0	CAPUAVA RESIDENCIAL PRIVE (1)		RESIDENCIAL PRIVE NORTE (1) [50.0%]	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445302	BLOQUEADO	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVE	12	10	0	2	41.67	CAPUAVA RESIDENCIAL PRIVE (5) | CAPUAVA RESIDENCIAL PRIVÊ (3) | Capuava Residencial Privê (2)		CAPUAVA (2) [33.33%]	CAPUAVA RESIDENCIAL PRIVE (5) | CAPUAVA RESIDENCIAL PRIVÊ (3) | CAPUAVA (2) | Capuava Residencial Privê (2)
74445305	BLOQUEADO	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVÊ	2	1	0	1	50.0	CAPUAVA RESIDENCIAL PRIVÊ (1)		RESIDENCIAL PRIVE NORTE (1) [50.0%]	CAPUAVA RESIDENCIAL PRIVÊ (1) | RESIDENCIAL PRIVE NORTE (1)
74445360	BLOQUEADO	FAZENDA CAVEIRA	FAZENDA CAVEIRA	2	1	1	0	50.0	FAZENDA CAVEIRA (1)	FAZENDA CAVEIRAS (1) [93.75%]		FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)
74445485	SEGURO	MUTIRAO	VILA MUTIRÃO	1	1	0	0	100.0	VILA MUTIRÃO (1)			VILA MUTIRÃO (1)
74446827	SEGURO	CANDIDA DE MORAIS	CANDIDA DE MORAIS	1	1	0	0	100.0	CANDIDA DE MORAIS (1)			CANDIDA DE MORAIS (1)
74447085	SEGURO	CAMARGO	JARDIM CAMARGO	1	1	0	0	100.0	JARDIM CAMARGO (1)			JARDIM CAMARGO (1)
74447258	SEGURO	COLORADO	JARDIM COLORADO	2	2	0	0	100.0	JARDIM COLORADO (2)			JARDIM COLORADO (2)
74450010	SEGURO	CAPUAVA	CAPUAVA	2	2	0	0	100.0	CAPUAVA (2)			CAPUAVA (2)
74450020	SEGURO	CAPUAVA	CAPUAVA	10	10	0	0	60.0	CAPUAVA (6) | Capuava (3) | BAIRRO CAPUAVA (1)			CAPUAVA (6) | Capuava (3) | BAIRRO CAPUAVA (1)
74450030	SEGURO	CAPUAVA	Capuava	3	3	0	0	100.0	Capuava (3)			Capuava (3)
74450040	SEGURO	CAPUAVA	Capuava	2	2	0	0	50.0	Capuava (1) | CAPUAVA (1)			Capuava (1) | CAPUAVA (1)
74450050	SEGURO	CAPUAVA	CAPUAVA	2	2	0	0	50.0	CAPUAVA (1) | Capuava (1)			CAPUAVA (1) | Capuava (1)
74450060	SEGURO	CAPUAVA	CAPUAVA	1	1	0	0	100.0	CAPUAVA (1)			CAPUAVA (1)
74450070	SEGURO	CAPUAVA	CAPUAVA	4	4	0	0	50.0	CAPUAVA (2) | Capuava (2)			CAPUAVA (2) | Capuava (2)
74450090	SEGURO	CAPUAVA	CAPUAVA	1	1	0	0	100.0	CAPUAVA (1)			CAPUAVA (1)
74450100	SEGURO	CAPUAVA	CAPUAVA	12	12	0	0	50.0	CAPUAVA (6) | BAIRRO CAPUAVA (3) | Capuava (3)			CAPUAVA (6) | BAIRRO CAPUAVA (3) | Capuava (3)
74450110	SEGURO	CAPUAVA	CAPUAVA	8	8	0	0	75.0	CAPUAVA (6) | Capuava (2)			CAPUAVA (6) | Capuava (2)
74450120	SEGURO	CAPUAVA	BAIRRO CAPUAVA	1	1	0	0	100.0	BAIRRO CAPUAVA (1)			BAIRRO CAPUAVA (1)
74450130	SEGURO	CAPUAVA	CAPUAVA	1	1	0	0	100.0	CAPUAVA (1)			CAPUAVA (1)
74450150	SEGURO	CAPUAVA	CAPUAVA	4	4	0	0	100.0	CAPUAVA (4)			CAPUAVA (4)
74450170	BLOQUEADO	CAPUAVA	CAPUAVA	19	18	0	1	73.68	CAPUAVA (14) | Capuava (4)		CANDIDA DE MORAES. (1) [22.22%]	CAPUAVA (14) | Capuava (4) | CANDIDA DE MORAES. (1)
74450180	SEGURO	CAPUAVA	CAPUAVA	15	15	0	0	60.0	CAPUAVA (9) | Capuava (5) | BAIRRO CAPUAVA (1)			CAPUAVA (9) | Capuava (5) | BAIRRO CAPUAVA (1)
74450200	SEGURO	CAPUAVA	CAPUAVA	2	2	0	0	50.0	CAPUAVA (1) | Capuava (1)			CAPUAVA (1) | Capuava (1)
74450210	SEGURO	CAPUAVA	CAPUAVA	4	4	0	0	50.0	CAPUAVA (2) | Capuava (2)			CAPUAVA (2) | Capuava (2)
74450230	SEGURO	CAPUAVA	CAPUAVA	5	5	0	0	100.0	CAPUAVA (5)			CAPUAVA (5)
74450240	SEGURO	CAPUAVA	CAPUAVA	1	1	0	0	100.0	CAPUAVA (1)			CAPUAVA (1)
74450260	SEGURO	CAPUAVA	CAPUAVA	4	4	0	0	75.0	CAPUAVA (3) | Capuava (1)			CAPUAVA (3) | Capuava (1)
74450290	SEGURO	CAPUAVA	Capuava	1	1	0	0	100.0	Capuava (1)			Capuava (1)
74450300	BLOQUEADO	CAPUAVA	CAPUAVA	4	2	0	2	50.0	CAPUAVA (2)		JARDIM GRAMADO (1) [14.29%] | SETOR PERIM (1) [14.29%]	CAPUAVA (2) | JARDIM GRAMADO (1) | SETOR PERIM (1)
74450310	SEGURO	CAPUAVA	CAPUAVA	1	1	0	0	100.0	CAPUAVA (1)			CAPUAVA (1)
74450330	SEGURO	CAPUAVA	BAIRRO CAPUAVA	3	3	0	0	33.33	BAIRRO CAPUAVA (1) | CAPUAVA (1) | Capuava (1)			BAIRRO CAPUAVA (1) | CAPUAVA (1) | Capuava (1)
74450340	SEGURO	CAPUAVA	CAPUAVA	4	4	0	0	75.0	CAPUAVA (3) | Capuava (1)			CAPUAVA (3) | Capuava (1)
74450360	SEGURO	CAPUAVA	Capuava	1	1	0	0	100.0	Capuava (1)			Capuava (1)
74450370	SEGURO	CAPUAVA	CAPUAVA	1	1	0	0	100.0	CAPUAVA (1)			CAPUAVA (1)
74450380	SEGURO	CAPUAVA	CAPUAVA	2	2	0	0	50.0	CAPUAVA (1) | Capuava (1)			CAPUAVA (1) | Capuava (1)
74450390	SEGURO	CAPUAVA	CAPUAVA	20	20	0	0	70.0	CAPUAVA (14) | Capuava (4) | BAIRRO CAPUAVA (2)			CAPUAVA (14) | Capuava (4) | BAIRRO CAPUAVA (2)
74450400	SEGURO	CAPUAVA	CAPUAVA	31	31	0	0	74.19	CAPUAVA (23) | BAIRRO CAPUAVA (4) | Capuava (4)			CAPUAVA (23) | BAIRRO CAPUAVA (4) | Capuava (4)
74450420	SEGURO	CAPUAVA	CAPUAVA	3	3	0	0	66.67	CAPUAVA (2) | Capuava (1)			CAPUAVA (2) | Capuava (1)
74450440	SEGURO	CAPUAVA	CAPUAVA	6	6	0	0	50.0	CAPUAVA (3) | BAIRRO CAPUAVA (2) | Capuava (1)			CAPUAVA (3) | BAIRRO CAPUAVA (2) | Capuava (1)
74450450	SEGURO	CAPUAVA	CAPUAVA	4	4	0	0	50.0	CAPUAVA (2) | Capuava (2)			CAPUAVA (2) | Capuava (2)
74450460	SEGURO	CAPUAVA	CAPUAVA	2	2	0	0	100.0	CAPUAVA (2)			CAPUAVA (2)
74450470	BLOQUEADO	CAPUAVA	CAPUAVA	6	5	0	1	50.0	CAPUAVA (3) | Capuava (2)		MARABA (1) [42.86%]	CAPUAVA (3) | Capuava (2) | MARABA (1)
74450490	SEGURO	CAPUAVA	CAPUAVA	26	26	0	0	80.77	CAPUAVA (21) | BAIRRO CAPUAVA (2) | Capuava (2) | SETOR CAPUAVA (1)			CAPUAVA (21) | BAIRRO CAPUAVA (2) | Capuava (2) | SETOR CAPUAVA (1)
74450550	SEGURO	CURITIBA IV	JARDIM CURITIBA IV	1	1	0	0	100.0	JARDIM CURITIBA IV (1)			JARDIM CURITIBA IV (1)
74451150	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	1	1	0	0	100.0	RESIDENCIAL 14 BIS (1)			RESIDENCIAL 14 BIS (1)
74453170	SEGURO	JOAO VAZ	VILA JOAO VAZ	1	1	0	0	100.0	VILA JOAO VAZ (1)			VILA JOAO VAZ (1)
74453460	SEGURO	REGINA	VILA REGINA	2	2	0	0	100.0	VILA REGINA (2)			VILA REGINA (2)
74453470	SEGURO	REGINA	VILA REGINA	4	4	0	0	75.0	VILA REGINA (3) | Vila Regina (1)			VILA REGINA (3) | Vila Regina (1)
74453490	SEGURO	REGINA	VILA REGINA	1	1	0	0	100.0	VILA REGINA (1)			VILA REGINA (1)
74453500	SEGURO	REGINA	VILA REGINA	4	4	0	0	75.0	VILA REGINA (3) | Vila Regina (1)			VILA REGINA (3) | Vila Regina (1)
74453540	SEGURO	REGINA	VILA REGINA	17	17	0	0	70.59	VILA REGINA (12) | Vila Regina (4) | Vila regina (1)			VILA REGINA (12) | Vila Regina (4) | Vila regina (1)
74453560	BLOQUEADO	REGINA	VILA REGINA	13	12	1	0	69.23	VILA REGINA (9) | Vila Regina (3)	SETOR VILA REGINA (1) [100.0%]		VILA REGINA (9) | Vila Regina (3) | SETOR VILA REGINA (1)
74453570	SEGURO	REGINA	Vila Regina	8	8	0	0	50.0	Vila Regina (4) | VILA REGINA (4)			Vila Regina (4) | VILA REGINA (4)
74453580	SEGURO	REGINA	VILA REGINA	7	7	0	0	85.71	VILA REGINA (6) | Vila Regina (1)			VILA REGINA (6) | Vila Regina (1)
74453590	SEGURO	REGINA	VILA REGINA	7	7	0	0	85.71	VILA REGINA (6) | Vila Regina (1)			VILA REGINA (6) | Vila Regina (1)
74453600	SEGURO	REGINA	VILA REGINA	8	8	0	0	50.0	VILA REGINA (4) | Vila Regina (4)			VILA REGINA (4) | Vila Regina (4)
74453610	SEGURO	REGINA	VILA REGINA	14	14	0	0	92.86	VILA REGINA (13) | Vila Regina (1)			VILA REGINA (13) | Vila Regina (1)
74453620	SEGURO	REGINA	Vila Regina	5	5	0	0	60.0	Vila Regina (3) | VILA REGINA (2)			Vila Regina (3) | VILA REGINA (2)
74453625	SEGURO	REGINA	VILA REGINA	2	2	0	0	100.0	VILA REGINA (2)			VILA REGINA (2)
74453650	SEGURO	REGINA	VILA REGINA	8	8	0	0	62.5	VILA REGINA (5) | Vila Regina (3)			VILA REGINA (5) | Vila Regina (3)
74454250	SEGURO	NOVA ESPERANCA	NOVA ESPERANÇA	1	1	0	0	100.0	NOVA ESPERANÇA (1)			NOVA ESPERANÇA (1)
74455070	SEGURO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	6	6	0	0	83.33	JARDIM NOVA ESPERANÇA (5) | NOVA ESPERANÇA (1)			JARDIM NOVA ESPERANÇA (5) | NOVA ESPERANÇA (1)
74455130	SEGURO	JOAO VAZ	VILA JOÃO VAZ	1	1	0	0	100.0	VILA JOÃO VAZ (1)			VILA JOÃO VAZ (1)
74455530	SEGURO	LIBERDADE	JARDIM LIBERDADE	1	1	0	0	100.0	JARDIM LIBERDADE (1)			JARDIM LIBERDADE (1)
74455535	SEGURO	NOVO MUNDO	NOVO MUNDO	1	1	0	0	100.0	NOVO MUNDO (1)			NOVO MUNDO (1)
74456290	SEGURO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	0	100.0	JARDIM NOVA ESPERANÇA (1)			JARDIM NOVA ESPERANÇA (1)
74460010	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	7	7	0	0	42.86	JARDIM PETRÓPOLIS (3) | JARDIM PETROPOLIS (3) | Jardim Petrópolis (1)			JARDIM PETRÓPOLIS (3) | JARDIM PETROPOLIS (3) | Jardim Petrópolis (1)
74460020	BLOQUEADO	PETROPOLIS	JARDIM PETRÓPOLIS	23	22	1	0	52.17	JARDIM PETRÓPOLIS (12) | JARDIM PETROPOLIS (7) | Jardim Petrópolis (3)	JARDIM PETROPLIS (1) [90.0%]		JARDIM PETRÓPOLIS (12) | JARDIM PETROPOLIS (7) | Jardim Petrópolis (3) | JARDIM PETROPLIS (1)
74460030	SEGURO	PETROPOLIS	Jardim Petrópolis	2	2	0	0	100.0	Jardim Petrópolis (2)			Jardim Petrópolis (2)
74460035	SEGURO	PETROPOLIS	Jardim Petrópolis	1	1	0	0	100.0	Jardim Petrópolis (1)			Jardim Petrópolis (1)
74460040	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	3	3	0	0	100.0	JARDIM PETRÓPOLIS (3)			JARDIM PETRÓPOLIS (3)
74460050	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	10	10	0	0	60.0	JARDIM PETRÓPOLIS (6) | JARDIM PETROPOLIS (2) | Jardim Petrópolis (2)			JARDIM PETRÓPOLIS (6) | JARDIM PETROPOLIS (2) | Jardim Petrópolis (2)
74460060	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	8	8	0	0	50.0	JARDIM PETRÓPOLIS (4) | JARDIM PETROPOLIS (3) | Jardim Petrópolis (1)			JARDIM PETRÓPOLIS (4) | JARDIM PETROPOLIS (3) | Jardim Petrópolis (1)
74460070	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	3	3	0	0	66.67	JARDIM PETRÓPOLIS (2) | JARDIM PETROPOLIS (1)			JARDIM PETRÓPOLIS (2) | JARDIM PETROPOLIS (1)
74460080	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	3	3	0	0	66.67	JARDIM PETRÓPOLIS (2) | Jardim Petrópolis (1)			JARDIM PETRÓPOLIS (2) | Jardim Petrópolis (1)
74460090	SEGURO	PETROPOLIS	JARDIM PETROPOLIS	1	1	0	0	100.0	JARDIM PETROPOLIS (1)			JARDIM PETROPOLIS (1)
74460100	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	1	1	0	0	100.0	JARDIM PETRÓPOLIS (1)			JARDIM PETRÓPOLIS (1)
74460110	BLOQUEADO	LIBERDADE	JARDIM LIBERDADE	2	1	0	1	50.0	JARDIM LIBERDADE (1)		Jardim Petrópolis (1) [0.0%]	JARDIM LIBERDADE (1) | Jardim Petrópolis (1)
74460120	SEGURO	PETROPOLIS	JARDIM PETROPOLIS	3	3	0	0	33.33	JARDIM PETROPOLIS (1) | JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)			JARDIM PETROPOLIS (1) | JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)
74460130	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	3	3	0	0	66.67	JARDIM PETRÓPOLIS (2) | Jardim Petrópolis (1)			JARDIM PETRÓPOLIS (2) | Jardim Petrópolis (1)
74460170	SEGURO	NOVO MUNDO	JARDIM NOVO MUNDO	1	1	0	0	100.0	JARDIM NOVO MUNDO (1)			JARDIM NOVO MUNDO (1)
74460180	SEGURO	MUTIRAO	VILA MUTIRAO	1	1	0	0	100.0	VILA MUTIRAO (1)			VILA MUTIRAO (1)
74460390	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	1	1	0	0	100.0	JARDIM PETRÓPOLIS (1)			JARDIM PETRÓPOLIS (1)
74460440	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	2	2	0	0	50.0	JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)			JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)
74460445	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	1	1	0	0	100.0	JARDIM PETRÓPOLIS (1)			JARDIM PETRÓPOLIS (1)
74460450	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	2	2	0	0	50.0	JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)			JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)
74460460	SEGURO	PETROPOLIS	JARDIM PETRÓPOLIS	1	1	0	0	100.0	JARDIM PETRÓPOLIS (1)			JARDIM PETRÓPOLIS (1)
