CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	SITUACAO	VARIACOES_OU_FAMILIAS
74440145	SAO JOSE	7	REVISAR	SAO JOSE (4) | VILA SAO JOSE (3)
74440150	VILA SAO JOSE	1	AUTO	Vila São José (1)
74440160	SAO JOSE	1	AUTO	SETOR SÃO JOSÉ (1)
74440180	SAO JOSE	1	AUTO	SETOR SÃO JOSE (1)
74440185	SAO JOSE	1	AUTO	Setor São José (1)
74440220	SAO JOSE	2	AUTO	SETOR SÃO JOSÉ (2)
74440240	SAO JOSE	7	REVISAR	SAO JOSE (5) | VILA SAO JOSE (2)
74440245	VILA SAO JOSE	5	REVISAR	VILA SAO JOSE (3) | SAO JOSE (2)
74440250	SAO JOSE	11	REVISAR	SAO JOSE (7) | VILA SAO JOSE (4)
74440280	SAO JOSE	2	VARIACAO	SETOR SÃO JOSÉ (1) | SAO JOSE (1)
74440290	SAO JOSE	3	AUTO	SETOR SÃO JOSÉ (3)
74440300	SAO JOSE	9	REVISAR	SAO JOSE (6) | VILA SAO JOSE (3)
74440310	SAO JOSE	7	REVISAR	SAO JOSE (6) | VILA SAO JOSE (1)
74440320	VILA SAO JOSE	1	AUTO	VILA SÃO JOSÉ (1)
74440330	SAO JOSE	5	AUTO	SETOR SÃO JOSÉ (5)
74440340	SAO JOSE	7	REVISAR	SAO JOSE (4) | VILA SAO JOSE (3)
74440350	SAO JOSE	6	AUTO	Setor São José (6)
74440360	SAO JOSE	4	REVISAR	SAO JOSE (2) | VILA SAO JOSE (2)
74440370	SAO JOSE	4	AUTO	SETOR SÃO JOSÉ (4)
74440380	VILA SAO JOSE	1	AUTO	Vila São José (1)
74440400	SAO JOSE	3	AUTO	SETOR SÃO JOSÉ (3)
74440410	VILA SAO JOSE	2	REVISAR	VILA SAO JOSE (1) | SAO JOSE (1)
74440420	SAO JOSE	6	VARIACAO	SETOR SÃO JOSÉ (5) | SÃO JOSÉ (1)
74440425	VILA SAO JOSE	2	AUTO	VILA SÃO JOSE (2)
74440440	SAO JOSE	1	AUTO	SETOR SÃO JOSÉ (1)
74440460	SAO JOSE	3	REVISAR	SAO JOSE (2) | VILA SAO JOSE (1)
74440470	VILA SAO JOSE	3	REVISAR	VILA SAO JOSE (2) | SAO JOSE (1)
74440480	SAO JOSE	8	REVISAR	SAO JOSE (7) | VILA SAO JOSE (1)
74440485	SAO JOSE	3	AUTO	Setor São José (3)
74440500	SAO JOSE	3	REVISAR	SAO JOSE (2) | VILA SAO JOSE (1)
74440510	VILA SAO JOSE	2	REVISAR	VILA SAO JOSE (1) | SAO JOSE (1)
74440520	SAO JOSE	2	AUTO	SETOR SÃO JOSÉ (2)
74440530	SAO JOSE	7	REVISAR	SAO JOSE (6) | VILA SAO JOSE (1)
74440540	SAO JOSE	2	AUTO	SETOR SÃO JOSÉ (2)
74440550	SAO JOSE	11	REVISAR	SAO JOSE (8) | VILA SAO JOSE (3)
74440560	SAO JOSE	7	REVISAR	SAO JOSE (6) | VILA SAO JOSE (1)
74440590	VILA SAO JOSE	6	REVISAR	VILA SAO JOSE (5) | SAO JOSE (1)
74440600	SAO JOSE	4	AUTO	SETOR SÃO JOSÉ (4)
74440610	SAO JOSE	6	AUTO	Setor São José (6)
74440620	VILA SAO JOSE	1	AUTO	VILA SÃO JOSE (1)
74440630	VILA SAO JOSE	5	REVISAR	VILA SAO JOSE (3) | SAO JOSE (2)
74440640	SAO JOSE	11	REVISAR	SAO JOSE (9) | VILA SAO JOSE (2)
74440650	SAO JOSE	2	AUTO	SETOR SÃO JOSE (2)
74440660	VILA SAO JOSE	1	AUTO	VILA SÃO JOSÉ (1)
74440670	SAO JOSE	5	REVISAR	SAO JOSE (4) | VILA SAO JOSE (1)
74440690	SAO JOSE	1	AUTO	SETOR SÃO JOSÉ (1)
74440700	SAO JOSE	3	REVISAR	SAO JOSE (2) | VILA SAO JOSE (1)
74440710	VILA SAO JOSE	2	REVISAR	VILA SAO JOSE (1) | SAO JOSE (1)
74440730	SAO JOSE	1	AUTO	Setor São José (1)
74440735	SAO JOSE	3	AUTO	SETOR SÃO JOSÉ (3)
74440740	VILA SAO JOSE	1	AUTO	VILA SÃO JOSÉ (1)
74440810	VILA SAO JOSE	2	AUTO	VILA SÃO JOSÉ (2)
74440820	VILA SAO JOSE EXTENSAO	1	AUTO	Vila são José extensão (1)
74440840	VILA SAO JOSE EXTENSAO	1	AUTO	Vila São José Extensão (1)
74440920	VILA SAO JOSE	1	AUTO	VILA SÃO JOSE (1)
74441010	VILA SAO JOSE	2	REVISAR	VILA SAO JOSE (1) | SAO JOSE (1)
74445010	VILA JOAO VAZ	15	AUTO	VILA JOÃO VAZ (15)
74445020	VILA JOAO VAZ	14	AUTO	VILA JOÃO VAZ (14)
74445040	VILA JOAO VAZ	13	AUTO	VILA JOÃO VAZ (13)
74445050	VILA JOAO VAZ	10	AUTO	VILA JOÃO VAZ (10)
74445060	VILA JOAO VAZ	4	AUTO	VILA JOÃO VAZ (4)
74445070	VILA JOAO VAZ	1	AUTO	VILA JOAO VAZ (1)
74445090	VILA JOAO VAZ	26	AUTO	VILA JOÃO VAZ (26)
74445100	VILA JOAO VAZ	2	AUTO	VILA JOÃO VAZ (2)
74445110	VILA JOAO VAZ	23	AUTO	VILA JOÃO VAZ (23)
74445120	SANTOS DUMONT	2	AUTO	SANTOS DUMONT (2)
74445130	VILA JOAO VAZ	3	AUTO	VILA JOÃO VAZ (3)
74445140	VILA JOAO VAZ	6	AUTO	VILA JOÃO VAZ (6)
74445160	VILA JOAO VAZ	27	REVISAR	VILA JOAO VAZ (26) | CAPUAVA (1)
74445170	VILA JOAO VAZ	7	AUTO	VILA JOAO VAZ (7)
74445172	VILA JOAO VAZ	1	AUTO	VILA JOÃO VAZ (1)
74445180	VILA JOAO VAZ	2	AUTO	VILA JOÃO VAZ (2)
74445190	VILA JOAO VAZ	5	REVISAR	VILA JOAO VAZ (4) | NOROESTE (1)
74445200	VILA JOAO VAZ	3	AUTO	VILA JOÃO VAZ (3)
74445210	VILA JOAO VAZ	7	AUTO	VILA JOAO VAZ (7)
74445220	VILA JOAO VAZ	3	AUTO	VILA JOÃO VAZ (3)
74445230	VILA JOAO VAZ	18	REVISAR	VILA JOAO VAZ (17) | JOAO VAZ (1)
74445240	VILA JOAO VAZ	8	AUTO	VILA JOÃO VAZ (8)
74445250	VILA JOAO VAZ	13	AUTO	VILA JOAO VAZ (13)
74445260	VILA JOAO VAZ	12	REVISAR	VILA JOAO VAZ (11) | CAPUAVA (1)
74445300	CAPUAVA RESIDENCIAL PRIVE	2	REVISAR	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445302	CAPUAVA RESIDENCIAL PRIVE	12	REVISAR	CAPUAVA RESIDENCIAL PRIVE (10) | CAPUAVA (2)
74445305	CAPUAVA RESIDENCIAL PRIVE	2	REVISAR	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445360	FAZENDA CAVEIRA	2	REVISAR	FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)
74445485	VILA MUTIRAO	1	AUTO	VILA MUTIRÃO (1)
74446827	CANDIDA DE MORAIS	1	AUTO	CANDIDA DE MORAIS (1)
74447085	JARDIM CAMARGO	1	AUTO	JARDIM CAMARGO (1)
74447258	JARDIM COLORADO	2	AUTO	JARDIM COLORADO (2)
74450010	CAPUAVA	2	AUTO	CAPUAVA (2)
74450020	CAPUAVA	10	VARIACAO	CAPUAVA (9) | BAIRRO CAPUAVA (1)
74450030	CAPUAVA	3	AUTO	Capuava (3)
74450040	CAPUAVA	2	AUTO	Capuava (2)
74450050	CAPUAVA	2	AUTO	CAPUAVA (2)
74450060	CAPUAVA	1	AUTO	CAPUAVA (1)
74450070	CAPUAVA	4	AUTO	CAPUAVA (4)
74450090	CAPUAVA	1	AUTO	CAPUAVA (1)
74450100	CAPUAVA	12	VARIACAO	CAPUAVA (9) | BAIRRO CAPUAVA (3)
74450110	CAPUAVA	8	AUTO	CAPUAVA (8)
74450120	CAPUAVA	1	AUTO	BAIRRO CAPUAVA (1)
74450130	CAPUAVA	1	AUTO	CAPUAVA (1)
74450150	CAPUAVA	4	AUTO	CAPUAVA (4)
74450170	CAPUAVA	19	REVISAR	CAPUAVA (18) | CANDIDA DE MORAES (1)
74450180	CAPUAVA	15	VARIACAO	Capuava (14) | BAIRRO CAPUAVA (1)
74450200	CAPUAVA	2	AUTO	CAPUAVA (2)
74450210	CAPUAVA	4	AUTO	CAPUAVA (4)
74450230	CAPUAVA	5	AUTO	CAPUAVA (5)
74450240	CAPUAVA	1	AUTO	CAPUAVA (1)
74450260	CAPUAVA	4	AUTO	CAPUAVA (4)
74450290	CAPUAVA	1	AUTO	Capuava (1)
74450300	CAPUAVA	4	REVISAR	CAPUAVA (2) | JARDIM GRAMADO (1) | PERIM (1)
74450310	CAPUAVA	1	AUTO	CAPUAVA (1)
74450330	CAPUAVA	3	VARIACAO	CAPUAVA (2) | BAIRRO CAPUAVA (1)
74450340	CAPUAVA	4	AUTO	Capuava (4)
74450360	CAPUAVA	1	AUTO	Capuava (1)
74450370	CAPUAVA	1	AUTO	CAPUAVA (1)
74450380	CAPUAVA	2	AUTO	CAPUAVA (2)
74450390	CAPUAVA	20	VARIACAO	CAPUAVA (18) | BAIRRO CAPUAVA (2)
74450400	CAPUAVA	31	VARIACAO	CAPUAVA (27) | BAIRRO CAPUAVA (4)
74450420	CAPUAVA	3	AUTO	CAPUAVA (3)
74450440	CAPUAVA	6	VARIACAO	Capuava (4) | BAIRRO CAPUAVA (2)
74450450	CAPUAVA	4	AUTO	CAPUAVA (4)
74450460	CAPUAVA	2	AUTO	CAPUAVA (2)
74450470	CAPUAVA	6	REVISAR	CAPUAVA (5) | MARABA (1)
74450490	CAPUAVA	26	VARIACAO	CAPUAVA (23) | BAIRRO CAPUAVA (2) | SETOR CAPUAVA (1)
74450550	JARDIM CURITIBA IV	1	AUTO	JARDIM CURITIBA IV (1)
74451150	RESIDENCIAL 14 BIS	1	AUTO	RESIDENCIAL 14 BIS (1)
74453170	VILA JOAO VAZ	1	AUTO	VILA JOAO VAZ (1)
74453460	VILA REGINA	2	AUTO	VILA REGINA (2)
74453470	VILA REGINA	4	AUTO	VILA REGINA (4)
74453490	VILA REGINA	1	AUTO	VILA REGINA (1)
74453500	VILA REGINA	4	AUTO	VILA REGINA (4)
74453540	VILA REGINA	17	AUTO	VILA REGINA (17)
74453560	VILA REGINA	13	VARIACAO	Vila Regina (12) | SETOR VILA REGINA (1)
74453570	VILA REGINA	8	AUTO	Vila Regina (8)
74453580	VILA REGINA	7	AUTO	Vila Regina (7)
74453590	VILA REGINA	7	AUTO	VILA REGINA (7)
74453600	VILA REGINA	8	AUTO	VILA REGINA (8)
74453610	VILA REGINA	14	AUTO	VILA REGINA (14)
74453620	VILA REGINA	5	AUTO	VILA REGINA (5)
74453625	VILA REGINA	2	AUTO	VILA REGINA (2)
74453650	VILA REGINA	8	AUTO	Vila Regina (8)
74454250	NOVA ESPERANCA	1	AUTO	NOVA ESPERANÇA (1)
74455070	JARDIM NOVA ESPERANCA	6	REVISAR	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)
74455130	VILA JOAO VAZ	1	AUTO	VILA JOÃO VAZ (1)
74455530	JARDIM LIBERDADE	1	AUTO	JARDIM LIBERDADE (1)
74455535	NOVO MUNDO	1	AUTO	NOVO MUNDO (1)
74456290	JARDIM NOVA ESPERANCA	1	AUTO	JARDIM NOVA ESPERANÇA (1)
74460010	JARDIM PETROPOLIS	7	AUTO	Jardim Petrópolis (7)
74460020	JARDIM PETROPOLIS	23	REVISAR	JARDIM PETROPOLIS (22) | JARDIM PETROPLIS (1)
74460030	JARDIM PETROPOLIS	2	AUTO	Jardim Petrópolis (2)
74460035	JARDIM PETROPOLIS	1	AUTO	Jardim Petrópolis (1)
74460040	JARDIM PETROPOLIS	3	AUTO	JARDIM PETRÓPOLIS (3)
74460050	JARDIM PETROPOLIS	10	AUTO	JARDIM PETROPOLIS (10)
74460060	JARDIM PETROPOLIS	8	AUTO	JARDIM PETROPOLIS (8)
74460070	JARDIM PETROPOLIS	3	AUTO	JARDIM PETRÓPOLIS (3)
74460080	JARDIM PETROPOLIS	3	AUTO	JARDIM PETRÓPOLIS (3)
74460090	JARDIM PETROPOLIS	1	AUTO	JARDIM PETROPOLIS (1)
74460100	JARDIM PETROPOLIS	1	AUTO	JARDIM PETRÓPOLIS (1)
74460110	JARDIM PETROPOLIS	2	REVISAR	JARDIM PETROPOLIS (1) | JARDIM LIBERDADE (1)
74460120	JARDIM PETROPOLIS	3	AUTO	JARDIM PETROPOLIS (3)
74460130	JARDIM PETROPOLIS	3	AUTO	JARDIM PETRÓPOLIS (3)
74460170	JARDIM NOVO MUNDO	1	AUTO	JARDIM NOVO MUNDO (1)
74460180	VILA MUTIRAO	1	AUTO	VILA MUTIRAO (1)
74460390	JARDIM PETROPOLIS	1	AUTO	JARDIM PETRÓPOLIS (1)
74460440	JARDIM PETROPOLIS	2	AUTO	JARDIM PETRÓPOLIS (2)
74460445	JARDIM PETROPOLIS	1	AUTO	JARDIM PETRÓPOLIS (1)
74460450	JARDIM PETROPOLIS	2	AUTO	JARDIM PETRÓPOLIS (2)
74460460	JARDIM PETROPOLIS	1	AUTO	JARDIM PETRÓPOLIS (1)
74460470	JARDIM PETROPOLIS	1	AUTO	JARDIM PETROPOLIS (1)
74460500	JARDIM PETROPOLIS	7	REVISAR	JARDIM PETROPOLIS (5) | VILA REGINA (2)
74460570	JARDIM CURITIBA IV	1	AUTO	JARDIM CURITIBA IV (1)
74460630	JARDIM PETROPOLIS	3	AUTO	JARDIM PETRÓPOLIS (3)
74460780	RESIDENCIAL PETROPOLIS	1	AUTO	Residencial Petrópolis (1)
74460970	VILA FINSOCIAL	3	REVISAR	VILA FINSOCIAL (1) | MORADA DO SOL (1) | VALE DOS CARAIBAS (1)
74461120	CONDOMINIO DO LAGO	1	AUTO	CONDOMÍNIO DO LAGO (1)
74461200	JARDIM CLARISSA	1	AUTO	JARDIM CLARISSA (1)
74461205	JARDIM CLARISSA	2	AUTO	JARDIM CLARISSA (2)
74461210	JARDIM CLARISSA	1	AUTO	JARDIM CLARISSA (1)
74461215	JARDIM CLARISSA	4	AUTO	JARDIM CLARISSA (4)
74461220	JARDIM CLARISSA	4	AUTO	JARDIM CLARISSA (4)
74461225	JARDIM CLARISSA	4	AUTO	JARDIM CLARISSA (4)
74461230	JARDIM CLARISSA	5	AUTO	JARDIM CLARISSA (5)
74461240	JARDIM CLARISSA	1	AUTO	JARDIM CLARISSA (1)
74461245	JARDIM CLARISSA	2	AUTO	JARDIM CLARISSA (2)
74461250	JARDIM CLARISSA	7	AUTO	Jardim Clarissa (7)
74461265	JARDIM CLARISSA	9	AUTO	Jardim Clarissa (9)
74461290	JARDIM CLARISSA	3	AUTO	JARDIM CLARISSA (3)
74461295	JARDIM CLARISSA	5	AUTO	JARDIM CLARISSA (5)
74461310	JARDIM CLARISSA	4	AUTO	JARDIM CLARISSA (4)
74461315	JARDIM CLARISSA	2	AUTO	JARDIM CLARISSA (2)
74461650	SANTOS DUMONT	1	AUTO	SANTOS DUMONT (1)
74461715	MANSOES PARAISO	1	AUTO	MANSÕES PARAISO (1)
74462060	JARDIM PETROPOLIS	1	AUTO	JARDIM PETROPOLIS (1)
74462760	SANTOS DUMONT	1	AUTO	SANTOS DUMONT (1)
74463015	SANTOS DUMONT	2	VARIACAO	SETOR SANTOS DUMONT (1) | SANTOS DUMONT (1)
74463023	PARQUE INDUSTRIAL PAULISTA	3	AUTO	PARQUE INDUSTRIAL PAULISTA (3)
74463025	CAPUAVA	1	AUTO	CAPUAVA (1)
74463030	SANTOS DUMONT	2	REVISAR	SANTOS DUMONT (1) | PARQUE INDUSTRIAL PAULISTA (1)
74463060	PARQUE INDUSTRIAL PAULISTA	1	AUTO	PARQUE INDUSTRIAL PAULISTA (1)
74463065	VILA REGINA	1	AUTO	VILA REGINA (1)
74463075	PARQUE INDUSTRIAL PAULISTA	1	AUTO	Parque Industrial Paulista (1)
74463080	SANTOS DUMONT	1	AUTO	SANTOS DUMONT (1)
74463100	PARQUE INDUSTRIAL PAULISTA	8	REVISAR	PARQUE INDUSTRIAL PAULISTA (7) | PARQUE INDUSTRIAL (1)
74463150	CANDIDA DE MORAIS	11	REVISAR	CANDIDA DE MORAIS (7) | CANDIDA DE MORAES (3) | CONDOMINIO MARESIA RESIDENCIAL ITAMARACA (1)
74463160	CANDIDA DE MORAIS	6	REVISAR	CANDIDA DE MORAIS (4) | CANDIDA DE MORAES (2)
74463165	CANDIDA DE MORAIS	19	REVISAR	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (4) | SANTOS DUMONT (2) | CANDIDAS DE MORAIS (1)
74463170	CANDIDA DE MORAES	18	REVISAR	CANDIDA DE MORAES (10) | CANDIDA DE MORAIS (8)
74463180	CANDIDA DE MORAIS	7	AUTO	SETOR CÂNDIDA DE MORAIS (7)
74463190	CANDIDA DE MORAIS	14	REVISAR	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (2)
74463200	CANDIDA DE MORAIS	44	REVISAR	CANDIDA DE MORAIS (31) | CANDIDA DE MORAES (11) | CANDIDADE MORAES (1) | JARDIM NOVA ESPERANCA (1)
74463210	CANDIDA DE MORAIS	22	REVISAR	CANDIDA DE MORAIS (14) | CANDIDA DE MORAES (7) | CENTRO (1)
74463220	CANDIDA DE MORAIS	29	REVISAR	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (13)
74463230	CANDIDA DE MORAIS	20	REVISAR	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (7)
74463240	CANDIDA DE MORAES	22	REVISAR	CANDIDA DE MORAES (11) | CANDIDA DE MORAIS (10) | JARDIM NOVA ESPERANCA (1)
74463250	CANDIDA DE MORAIS	8	REVISAR	CANDIDA DE MORAIS (5) | CANDIDA DE MORAES (3)
74463260	CANDIDA DE MORAIS	23	REVISAR	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (7)
74463270	CANDIDA DE MORAIS	6	REVISAR	CANDIDA DE MORAIS (3) | CANDIDA DE MORAES (2) | SANTOS DUMONT (1)
74463280	CANDIDA DE MORAES	292	REVISAR	CANDIDA DE MORAES (266) | CANDIDA DE MORAIS (22) | JARDIM NOVA ESPERANCA (3) | CANDIDO DE MORAES (1)
74463290	CANDIDA DE MORAIS	4	REVISAR	CANDIDA DE MORAIS (2) | CAPUAVA (1) | CANDIDA DE MORAES (1)
74463310	CANDIDA DE MORAIS	1	AUTO	SETOR CÂNDIDA DE MORAIS (1)
74463317	CAPUAVA	2	REVISAR	CAPUAVA (1) | CANDIDA DE MORAIS (1)
74463320	CANDIDA DE MORAIS	15	REVISAR	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (2)
74463330	CANDIDA DE MORAIS	16	REVISAR	CANDIDA DE MORAIS (10) | CANDIDA DE MORAES (6)
74463335	CANDIDA DE MORAIS	1	AUTO	SETOR CÂNDIDA DE MORAIS (1)
74463338	CANDIDA DE MORAES	1	AUTO	CANDIDA DE MORAES (1)
74463340	SANTOS DUMONT	16	REVISAR	SANTOS DUMONT (12) | CANDIDA DE MORAES (4)
74463348	SANTOS DUMONT	1	AUTO	SETOR SANTOS DUMONT (1)
74463350	SANTOS DUMONT	2	VARIACAO	SETOR SANTOS DUMONT (1) | SANTOS DUMONT (1)
74463360	SANTOS DUMONT	5	VARIACAO	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (2)
74463370	SANTOS DUMONT	4	VARIACAO	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (2)
74463375	SANTOS DUMONT	2	REVISAR	SANTOS DUMONT (1) | CANDIDA DE MORAES (1)
74463380	SANTOS DUMONT	24	REVISAR	SANTOS DUMONT (23) | JARDIM NOVA ESPERANCA (1)
74463400	SANTOS DUMONT	9	VARIACAO	SETOR SANTOS DUMONT (8) | SANTOS DUMONT (1)
74463410	SANTOS DUMONT	2	AUTO	SETOR SANTOS DUMONT (2)
74463414	CANDIDA DE MORAES	1	AUTO	CANDIDA DE MORAES (1)
74463430	SANTOS DUMONT	6	VARIACAO	SETOR SANTOS DUMONT (5) | SANTOS DUMONT (1)
74463440	SANTOS DUMONT	3	AUTO	SETOR SANTOS DUMONT (3)
74463445	SANTOS DUMONT	5	VARIACAO	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (2)
74463450	SANTOS DUMONT	2	AUTO	SETOR SANTOS DUMONT (2)
74463460	SANTOS DUMONT	2	VARIACAO	Setor Santos Dumont (1) | SANTOS DUMONT (1)
74463470	SANTOS DUMONT	4	VARIACAO	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (1)
74463480	SANTOS DUMONT	6	VARIACAO	Setor Santos Dumont (5) | SANTOS DUMONT (1)
74463490	SANTOS DUMONT	13	VARIACAO	Setor Santos Dumont (9) | SANTOS DUMONT (4)
74463500	SANTOS DUMONT	7	VARIACAO	SETOR SANTOS DUMONT (6) | SANTOS DUMONT (1)
74463510	SANTOS DUMONT	7	AUTO	Setor Santos Dumont (7)
74463520	SANTOS DUMONT	5	VARIACAO	SETOR SANTOS DUMONT (4) | SANTOS DUMONT (1)
74463550	SANTOS DUMONT	4	VARIACAO	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2)
74463560	SANTOS DUMONT	5	AUTO	SETOR SANTOS DUMONT (5)
74463570	SANTOS DUMONT	4	AUTO	SETOR SANTOS DUMONT (4)
74463580	SANTOS DUMONT	4	VARIACAO	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (1)
74463590	SANTOS DUMONT	2	AUTO	SETOR SANTOS DUMONT (2)
74463600	SANTOS DUMONT	5	AUTO	SETOR SANTOS DUMONT (5)
74463610	SANTOS DUMONT	6	VARIACAO	SANTOS DUMONT (4) | SETOR SANTOS DUMONT (2)
74463615	SANTOS DUMONT	5	REVISAR	SANTOS DUMONT (3) | CANDIDA DE MORAIS (1) | JARDIM NOVA ESPERANCA (1)
74463620	SANTOS DUMONT	3	VARIACAO	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)
74463630	SANTOS DUMONT	3	VARIACAO	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)
74463640	SANTOS DUMONT	7	VARIACAO	SETOR SANTOS DUMONT (5) | SANTOS DUMONT (2)
74463650	SANTOS DUMONT	2	AUTO	SETOR SANTOS DUMONT (2)
74463660	SANTOS DUMONT	24	VARIACAO	Setor Santos Dumont (16) | SANTOS DUMONT (8)
74463670	SANTOS DUMONT	12	VARIACAO	SANTOS DUMONT (7) | SETOR SANTOS DUMONT (5)
74463680	SANTOS DUMONT	5	VARIACAO	SANTOS DUMONT (3) | Setor Santos Dumont (2)
74463690	SANTOS DUMONT	13	VARIACAO	SETOR SANTOS DUMONT (11) | SANTOS DUMONT (2)
74463710	SANTOS DUMONT	2	VARIACAO	SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463720	SANTOS DUMONT	2	AUTO	SANTOS DUMONT (2)
74463730	SANTOS DUMONT	2	AUTO	SETOR SANTOS DUMONT (2)
74463740	SANTOS DUMONT	3	VARIACAO	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)
74463750	SANTOS DUMONT	8	VARIACAO	SETOR SANTOS DUMONT (5) | SANTOS DUMONT (3)
74463760	SANTOS DUMONT	33	VARIACAO	SETOR SANTOS DUMONT (17) | SANTOS DUMONT (16)
74463770	SANTOS DUMONT	26	VARIACAO	SETOR SANTOS DUMONT (13) | SANTOS DUMONT (13)
74463780	SANTOS DUMONT	15	VARIACAO	SETOR SANTOS DUMONT (11) | SANTOS DUMONT (4)
74463790	SANTOS DUMONT	7	VARIACAO	SANTOS DUMONT (4) | SETOR SANTOS DUMONT (3)
74463800	SANTOS DUMONT	8	AUTO	Setor Santos Dumont (8)
74463810	SANTOS DUMONT	18	VARIACAO	SETOR SANTOS DUMONT (11) | SANTOS DUMONT (7)
74463820	SANTOS DUMONT	10	VARIACAO	SETOR SANTOS DUMONT (9) | SANTOS DUMONT (1)
74463830	SANTOS DUMONT	14	VARIACAO	SETOR SANTOS DUMONT (8) | SANTOS DUMONT (6)
74463831	RESIDENCIAL 14 BIS	1	AUTO	RESIDENCIAL 14 BIS (1)
74463833	RESIDENCIAL 14 BIS	2	AUTO	RESIDENCIAL 14 BIS (2)
74463835	RESIDENCIAL 14 BIS	8	AUTO	RESIDENCIAL 14 BIS (8)
74463836	RESIDENCIAL 14 BIS	9	AUTO	RESIDENCIAL 14 BIS (9)
74463837	RESIDENCIAL 14 BIS	2	AUTO	RESIDENCIAL 14 BIS (2)
74463838	RESIDENCIAL 14 BIS	2	AUTO	RESIDENCIAL 14 BIS (2)
74463840	JARDIM BONANZA	3	AUTO	Jardim Bonanza (3)
74463846	JARDIM BONANZA	2	AUTO	JARDIM BONANZA (2)
74463848	JARDIM BONANZA	4	AUTO	JARDIM BONANZA (4)
74463850	JARDIM BONANZA	6	REVISAR	JARDIM BONANZA (5) | SANTOS DUMONT (1)
74463852	JARDIM BONANZA	3	AUTO	JARDIM BONANZA (3)
74463856	JARDIM BONANZA	3	AUTO	JARDIM BONANZA (3)
74463860	JARDIM BONANZA	2	AUTO	JARDIM BONANZA (2)
74463862	JARDIM BONANZA	7	AUTO	JARDIM BONANZA (7)
74463868	JARDIM BONANZA	6	AUTO	JARDIM BONANZA (6)
74463870	JARDIM BONANZA	1	AUTO	JARDIM BONANZA (1)
74463872	JARDIM BONANZA	2	AUTO	JARDIM BONANZA (2)
74463874	JARDIM BONANZA	1	AUTO	Jardim Bonanza (1)
74463875	JARDIM BONANZA	7	AUTO	JARDIM BONANZA (7)
74464000	BARRA DA TIJUCA	4	VARIACAO	SETOR BARRA DA TIJUCA (3) | BARRA DA TIJUCA (1)
74464010	BARRA DA TIJUCA	13	VARIACAO	SETOR BARRA DA TIJUCA (7) | BARRA DA TIJUCA (6)
74464016	DA TIJUCA	1	AUTO	BAIRRO DA TIJUCA (1)
74464020	BARRA DA TIJUCA	1	AUTO	SETOR BARRA DA TIJUCA (1)
74464025	BARRA DA TIJUCA	5	VARIACAO	SETOR BARRA DA TIJUCA (4) | BARRA DA TIJUCA (1)
74464030	BARRA DA TIJUCA	5	VARIACAO	SETOR BARRA DA TIJUCA (3) | BARRA DA TIJUCA (2)
74464040	BARRA DA TIJUCA	3	VARIACAO	SETOR BARRA DA TIJUCA (2) | BARRA DA TIJUCA (1)
74464045	BARRA DA TIJUCA	2	AUTO	SETOR BARRA DA TIJUCA (2)
74464055	BARRA DA TIJUCA	1	AUTO	BARRA DA TIJUCA (1)
74464060	BARRA DA TIJUCA	1	AUTO	SETOR BARRA DA TIJUCA (1)
74464065	BARRA DA TIJUCA	1	AUTO	Setor Barra da Tijuca (1)
74464070	BARRA DA TIJUCA	5	VARIACAO	SETOR BARRA DA TIJUCA (4) | BARRA DA TIJUCA (1)
74464075	BARRA DA TIJUCA	4	VARIACAO	SETOR BARRA DA TIJUCA (3) | BARRA DA TIJUCA (1)
74464110	JARDIM NOVO PETROPOLIS	1	AUTO	Jardim Novo Petrópolis (1)
74464120	JARDIM NOVO PETROPOLIS	2	REVISAR	JARDIM NOVO PETROPOLIS (1) | JARDIM PETROPOLIS (1)
74464130	JARDIM PETROPOLIS	4	REVISAR	JARDIM PETROPOLIS (2) | JARDIM NOVO PETROPOLIS (2)
74464135	JARDIM NOVO PETROPOLIS	11	REVISAR	JARDIM NOVO PETROPOLIS (9) | JARDIM PETROPOLIS (2)
74464145	JARDIM NOVO PETROPOLIS	4	AUTO	JARDIM NOVO PETRÓPOLIS (4)
