CEP	CLIENTES	CANDIDATO	PERCENTUAL_CANDIDATO	FAMILIAS
74475020	24	PARQUE TREMENDAO	95.8%	PARQUE TREMENDAO (23) | PARQUE TREMENDAO 2 (1)
74475060	4	PARQUE TREMENDAO	75.0%	PARQUE TREMENDAO (3) | JARDIM LIBERDADE (1)
74475075	7	PARQUE TREMENDAO	42.9%	PARQUE TREMENDAO (3) | VILAGE NOROESTE (2) | VILLAGE NOROESTE (1) | PARQUE TREMNDAO (1)
74475095	3	PARQUE TREMENDAO	66.7%	PARQUE TREMENDAO (2) | RESIDENCIAL VALE DOS CARAIBAS (1)
74475122	3	VILA FINSOCIAL	66.7%	VILA FINSOCIAL (2) | MORADA DO SOL (1)
74475137	6	MORADA DO SOL	83.3%	MORADA DO SOL (5) | SITIO RECREIO MORADA DO SOL (1)
74475143	13	MORADA DO SOL	92.3%	MORADA DO SOL (12) | VILA FINSOCIAL (1)
74475400	2	VILA MUTIRAO II	50.0%	VILA MUTIRAO II (1) | VILA MUTIRAO (1)
74475405	5	VILA MUTIRAO	60.0%	VILA MUTIRAO (3) | VILA MUTIRAO II (2)
74475410	15	VILA MUTIRAO	73.3%	VILA MUTIRAO (11) | VILA MUTIRAO II (2) | JARDIM LIBERDADE (2)
74475415	3	VILA MUTIRAO II	66.7%	VILA MUTIRAO II (2) | VILA MUTIRAO (1)
74475417	3	VILA MUTIRAO II	66.7%	VILA MUTIRAO II (2) | VILA MUTIRAO (1)
74475420	18	VILA MUTIRAO II	50.0%	VILA MUTIRAO II (9) | VILA MUTIRAO (7) | JARDIM LIBERDADE (2)
74475425	3	VILA MUTIRAO	66.7%	VILA MUTIRAO (2) | VILA MUTIRAO II (1)
74475430	4	VILA MUTIRAO	75.0%	VILA MUTIRAO (3) | VILA MUTIRAO II (1)
74475440	9	VILA MUTIRAO	77.8%	VILA MUTIRAO (7) | VILA MUTIRAO II (2)
74475450	10	VILA MUTIRAO	60.0%	VILA MUTIRAO (6) | VILA MUTIRAO II (3) | JARDIM LIBERDADE (1)
74475455	5	VILA MUTIRAO	60.0%	VILA MUTIRAO (3) | VILA MUTIRAO II (2)
74475460	30	VILA MUTIRAO	56.7%	VILA MUTIRAO (17) | VILA MUTIRAO II (9) | JARDIM LIBERDADE (4)
74475463	9	JARDIM LIBERDADE	55.6%	JARDIM LIBERDADE (5) | VILA MUTIRAO II (4)
74475465	6	VILA MUTIRAO	50.0%	VILA MUTIRAO (3) | VILA MUTIRAO II (2) | JARDIM LIBERDADE (1)
74475467	7	VILA MUTIRAO	71.4%	VILA MUTIRAO (5) | JARDIM LIBERDADE (2)
74475470	17	VILA MUTIRAO	64.7%	VILA MUTIRAO (11) | VILA MUTIRAO II (6)
74475475	16	VILA MUTIRAO	62.5%	VILA MUTIRAO (10) | VILA MUTIRAO II (6)
74475485	2	VILA MUTIRAO	50.0%	VILA MUTIRAO (1) | JARDIM LIBERDADE (1)
74475520	47	JARDIM LIBERDADE	91.5%	JARDIM LIBERDADE (43) | VILA MUTIRAO (4)
74475530	43	JARDIM LIBERDADE	97.7%	JARDIM LIBERDADE (42) | LIBERDADE (1)
74475540	16	JARDIM LIBERDADE	87.5%	JARDIM LIBERDADE (14) | VILA MUTIRAO (2)
74475550	24	JARDIM LIBERDADE	95.8%	JARDIM LIBERDADE (23) | PERIM (1)
74475580	38	JARDIM LIBERDADE	89.5%	JARDIM LIBERDADE (34) | VILA MUTIRAO (2) | RESIDENCIAL FORTALEZA (1) | JARDIM VISTA BELA (1)
74475610	27	JARDIM LIBERDADE	96.3%	JARDIM LIBERDADE (26) | NOVO PLANALTO (1)
74475630	4	JARDIM LIBERDADE	75.0%	JARDIM LIBERDADE (3) | VILA MUTIRAO (1)
74475660	77	JARDIM LIBERDADE	96.1%	JARDIM LIBERDADE (74) | VILA MUTIRAO (3)
74475680	10	JARDIM LIBERDADE	90.0%	JARDIM LIBERDADE (9) | NOVO PLANALTO (1)
74475802	9	PARQUE TREMENDAO	77.8%	PARQUE TREMENDAO (7) | TREMENDAO (1) | PARQUE TREMENDAO 2 (1)
74476030	11	RESIDENCIAL FORTALEZA	90.9%	RESIDENCIAL FORTALEZA (10) | DA VITORIA (1)
74476065	7	RESIDENCIAL FORTALEZA	71.4%	RESIDENCIAL FORTALEZA (5) | NOVO PLANALTO (1) | JARDIM LIBERDADE (1)
74476100	3	RESIDENCIAL FORTALEZA	66.7%	RESIDENCIAL FORTALEZA (2) | CONDOMINIO TERRA NOVA (1)
74476110	9	RESIDENCIAL FORTALEZA	66.7%	RESIDENCIAL FORTALEZA (6) | JARDIM LIBERDADE (2) | VILA MUTIRAO (1)
74477009	2	SAO CARLOS	50.0%	SAO CARLOS (1) | DA VITORIA (1)
74477010	4	DA VITORIA	50.0%	DA VITORIA (2) | RESERVA CAMPO BELO (1) | CONDOMINIO TERRA NOVA (1)
74477012	10	DA VITORIA	60.0%	DA VITORIA (6) | JARDIM NOVA ESPERANCA (2) | CANDIDA DE MORAES (1) | SAO CARLOS (1)
74477076	4	SAO CARLOS	75.0%	SAO CARLOS (3) | DA VITORIA (1)
74477088	14	SAO CARLOS	92.9%	SAO CARLOS (13) | JARDIM NOVA ESPERANCA (1)
74480000	4	JARDIM COLORADO	25.0%	JARDIM COLORADO (1) | COLORADO (1) | CAPUAVA (1) | JARDIM NOVO MUNDO (1)
74480020	3	VILA MUTIRAO	66.7%	VILA MUTIRAO (2) | JARDIM LIBERDADE (1)
74480030	41	JARDIM LIBERDADE	95.1%	JARDIM LIBERDADE (39) | VILA MUTIRAO (2)
74480040	9	VILA MUTIRAO	66.7%	VILA MUTIRAO (6) | VILA MUTIRAO I (3)
74480060	55	NOVO PLANALTO	94.5%	NOVO PLANALTO (52) | VILA MUTIRAO (1) | JARDIM NOVA ESPERANCA (1) | MANSOES PARAISO (1)
74480070	29	JARDIM LIBERDADE	82.8%	JARDIM LIBERDADE (24) | NOVO PLANALTO (3) | VILA MUTIRAO (2)
74480110	29	VILA MUTIRAO	44.8%	VILA MUTIRAO (13) | VILA MUTIRAO I (10) | JARDIM LIBERDADE (5) | JARDIM CURITIBA IV (1)
74480120	13	VILA MUTIRAO I	53.8%	VILA MUTIRAO I (7) | VILA MUTIRAO (5) | CURITIBA 4 (1)
74480140	14	VILA MUTIRAO	64.3%	VILA MUTIRAO (9) | VILA MUTIRAO I (4) | JARDIM LIBERDADE (1)
74480150	18	VILA MUTIRAO I	50.0%	VILA MUTIRAO I (9) | VILA MUTIRAO (8) | JARDIM LIBERDADE (1)
74480160	22	VILA MUTIRAO I	54.5%	VILA MUTIRAO I (12) | VILA MUTIRAO (10)
74480170	20	VILA MUTIRAO	65.0%	VILA MUTIRAO (13) | VILA MUTIRAO I (7)
74480180	26	VILA MUTIRAO	61.5%	VILA MUTIRAO (16) | VILA MUTIRAO I (9) | VILA MULTIRAO I (1)
74480190	5	VILA MUTIRAO	60.0%	VILA MUTIRAO (3) | VILA MULTIRAO (1) | VILA MUTIRAO I (1)
74480230	16	VILA MUTIRAO	62.5%	VILA MUTIRAO (10) | VILA MUTIRAO I (6)
74480240	27	VILA MUTIRAO I	51.9%	VILA MUTIRAO I (14) | VILA MUTIRAO (11) | CANDIDA DE MORAIS (1) | NOVO PLANALTO (1)
74480250	27	VILA MUTIRAO	55.6%	VILA MUTIRAO (15) | VILA MUTIRAO I (10) | VILA MULTIRAO (1) | JARDIM LIBERDADE (1)
74480260	29	VILA MUTIRAO	55.2%	VILA MUTIRAO (16) | VILA MUTIRAO I (12) | RESIDENCIAL GREEN PARK (1)
74480270	20	VILA MUTIRAO	50.0%	VILA MUTIRAO (10) | VILA MUTIRAO I (9) | JARDIM LIBERDADE (1)
74480280	20	VILA MUTIRAO I	50.0%	VILA MUTIRAO I (10) | VILA MUTIRAO (9) | NOVO PLANALTO (1)
74480282	8	VILA MUTIRAO	75.0%	VILA MUTIRAO (6) | VILA MUTIRAO I (2)
74480290	5	VILA MUTIRAO	60.0%	VILA MUTIRAO (3) | PERIM (1) | VILA MUTIRAO I (1)
74480300	15	VILA MUTIRAO I	60.0%	VILA MUTIRAO I (9) | VILA MUTIRAO (4) | VILA MULTIRAO (1) | VILA MUTIRAO 1 (1)
74480310	7	VILA MUTIRAO I	57.1%	VILA MUTIRAO I (4) | JARDIM LIBERDADE (1) | NOVO PLANALTO (1) | VILA MUTIRAO (1)
74480320	9	JARDIM LIBERDADE	44.4%	JARDIM LIBERDADE (4) | VILA MUTIRAO (4) | VILA MUTIRAO I (1)
74480330	45	NOVO PLANALTO	97.8%	NOVO PLANALTO (44) | JARDIM COLORADO (1)
74480340	41	NOVO PLANALTO	97.6%	NOVO PLANALTO (40) | JARDIM COLORADO (1)
74480350	52	NOVO PLANALTO	96.2%	NOVO PLANALTO (50) | JARDIM COLORADO (1) | CANDIDA DE MORAES (1)
74480355	47	NOVO PLANALTO	97.9%	NOVO PLANALTO (46) | JARDIM VISTA BELA (1)
74480382	19	NOVO PLANALTO	89.5%	NOVO PLANALTO (17) | VILA MARTINS (1) | RESIDENCIAL PRIVE NORTE (1)
74480387	3	NOVO PLANALTO	66.7%	NOVO PLANALTO (2) | PERIM (1)
74480390	29	NOVO PLANALTO	96.6%	NOVO PLANALTO (28) | JARDIM COLORADO (1)
74480430	23	JARDIM CURITIBA IV	78.3%	JARDIM CURITIBA IV (18) | JARDIM CURITIBA (4) | JARDIM LIBERDADE (1)
74480440	17	JARDIM CURITIBA IV	82.4%	JARDIM CURITIBA IV (14) | JARDIM CURITIBA (3)
74480450	40	JARDIM CURITIBA IV	75.0%	JARDIM CURITIBA IV (30) | JARDIM CURITIBA (10)
74480460	15	JARDIM CURITIBA IV	60.0%	JARDIM CURITIBA IV (9) | JARDIM CURITIBA (5) | PARQUE MARACANA (1)
74480470	7	JARDIM CURITIBA	57.1%	JARDIM CURITIBA (4) | JARDIM CURITIBA IV (2) | JARDIM CURITIBA I (1)
74480480	3	JARDIM CURITIBA IV	66.7%	JARDIM CURITIBA IV (2) | JARDIM CURITIBA (1)
74480485	6	JARDIM CURITIBA	50.0%	JARDIM CURITIBA (3) | JARDIM CURITIBA LV (1) | JARDIM VISTA BELA (1) | JARDIM CURITIBA IV (1)
74480500	5	JARDIM CURITIBA IV	80.0%	JARDIM CURITIBA IV (4) | JARDIM CURITIBA (1)
74480510	2	JARDIM CURITIBA	50.0%	JARDIM CURITIBA (1) | JARDIM CURITIBA IV (1)
74480520	11	JARDIM CURITIBA IV	90.9%	JARDIM CURITIBA IV (10) | JARDIM CURITIBA (1)
74480530	17	JARDIM CURITIBA IV	88.2%	JARDIM CURITIBA IV (15) | JARDIM CURITIBA (2)
74480540	6	JARDIM CURITIBA IV	83.3%	JARDIM CURITIBA IV (5) | JARDIM CURITIBA (1)
74480550	6	JARDIM CURITIBA IV	66.7%	JARDIM CURITIBA IV (4) | JARDIM CURITIBA (2)
74480560	14	JARDIM CURITIBA IV	64.3%	JARDIM CURITIBA IV (9) | JARDIM CURITIBA (5)
74480570	10	JARDIM CURITIBA IV	80.0%	JARDIM CURITIBA IV (8) | JARDIM CURITIBA (2)
74480590	6	JARDIM CURITIBA IV	66.7%	JARDIM CURITIBA IV (4) | RESIDENCIAL FORTALEZA (1) | JARDIM CURITIBA (1)
74480600	2	JARDIM CURITIBA IV	50.0%	JARDIM CURITIBA IV (1) | JARDIM CURITIBA (1)
74480610	5	JARDIM CURITIBA IV	40.0%	JARDIM CURITIBA IV (2) | JARDIM CURITIBA (2) | PARQUE TREMENDAO (1)
74480620	8	JARDIM CURITIBA IV	75.0%	JARDIM CURITIBA IV (6) | JARDIM CURITIBA (2)
74480640	5	JARDIM CURITIBA IV	60.0%	JARDIM CURITIBA IV (3) | JARDIM CURITIBA (2)
74480650	30	JARDIM CURITIBA IV	63.3%	JARDIM CURITIBA IV (19) | JARDIM CURITIBA (8) | VILA MUTIRAO (1) | SAO CARLOS (1) | JARDIM LIBERDADE (1)
74480660	11	JARDIM CURITIBA IV	72.7%	JARDIM CURITIBA IV (8) | JARDIM CURITIBA (3)
74480710	2	MANSOES PARAISO	50.0%	MANSOES PARAISO (1) | JARDIM CURITIBA (1)
74480720	2	MANSOES PARAISO	50.0%	MANSOES PARAISO (1) | JARDIM CURITIBA II (1)
74480800	11	JARDIM CURITIBA IV	45.5%	JARDIM CURITIBA IV (5) | JARDIM CURITIBA (2) | VILA MUTIRAO (1) | JARDIM CURITIBA II (1) | JARDIM CURITIBA 2 (1) | JARDIM CURITIBA 3 (1)
74481030	2	JARDIM CURITIBA IV	50.0%	JARDIM CURITIBA IV (1) | JARDIM CURITIBA 2 (1)
74481220	2	JARDIM CURITIBA	50.0%	JARDIM CURITIBA (1) | JARDIM CURITIBA 2 (1)
74481580	4	JARDIM CURITIBA	75.0%	JARDIM CURITIBA (3) | JARDIM CURITIBA 2 (1)
74481615	5	RESIDENCIAL GREEN PARK	80.0%	RESIDENCIAL GREEN PARK (4) | VILA MUTIRAO (1)
74481620	7	RESIDENCIAL GREEN PARK	71.4%	RESIDENCIAL GREEN PARK (5) | VILA MUTIRAO (1) | GREEN PARK (1)
74481640	12	RESIDENCIAL GREEN PARK	83.3%	RESIDENCIAL GREEN PARK (10) | VILA MUTIRAO (1) | RES GREEN PARK (1)
74481700	32	MANSOES PARAISO	62.5%	MANSOES PARAISO (20) | RESIDENCIAL MANSOES PARAISO (12)
74481705	48	MANSOES PARAISO	70.8%	MANSOES PARAISO (34) | RESIDENCIAL MANSOES PARAISO (13) | MANCOES PARAISO (1)
74481710	45	MANSOES PARAISO	62.2%	MANSOES PARAISO (28) | RESIDENCIAL MANSOES PARAISO (17)
74481715	50	MANSOES PARAISO	54.0%	MANSOES PARAISO (27) | RESIDENCIAL MANSOES PARAISO (21) | JARDIM CURITIBA IV (1) | RESIDENCIAL MANSOES DO PARAISO (1)
74481720	13	MANSOES PARAISO	61.5%	MANSOES PARAISO (8) | RESIDENCIAL MANSOES PARAISO (3) | NOVO PLANALTO (2)
74481725	13	MANSOES PARAISO	61.5%	MANSOES PARAISO (8) | RESIDENCIAL MANSOES PARAISO (5)
74481730	14	MANSOES PARAISO	71.4%	MANSOES PARAISO (10) | RESIDENCIAL MANSOES PARAISO (4)
74481755	4	MANSOES PARAISO	75.0%	MANSOES PARAISO (3) | RESIDENCIAL MANSOES PARAISO (1)
74483030	4	PARQUE INDUSTRIAL JOAO BRAZ	75.0%	PARQUE INDUSTRIAL JOAO BRAZ (3) | PARQUE INDUSTRIAL JOAO BRAZ QD 70 LT 12 CASA 01 (1)
74484080	9	SOLANGE PARK I	88.9%	SOLANGE PARK I (8) | SOLANGE PARK 3 (1)
74484140	3	SOLANGE PARK I	66.7%	SOLANGE PARK I (2) | SOLANGE PARK 1 (1)
74484150	4	SOLANGE PARK I	75.0%	SOLANGE PARK I (3) | SOLANGE PARK 1 (1)
74484160	4	SOLANGE PARK I	75.0%	SOLANGE PARK I (3) | GREEN PARK (1)
74484304	6	SOLANGE PARK II	83.3%	SOLANGE PARK II (5) | SOLANGE PARK I (1)
74484360	3	SOLANGE PARK III	66.7%	SOLANGE PARK III (2) | SOLANGE PARK I (1)
74484400	6	RESIDENCIAL GOIANIA VIVA	66.7%	RESIDENCIAL GOIANIA VIVA (4) | RESIDENCIAL GOI NIA VIVA (2)
74484409	6	RESIDENCIAL GOIANIA VIVA	50.0%	RESIDENCIAL GOIANIA VIVA (3) | RESIDENCIAL GOI NIA VIVA (2) | RESIDENCIAL GOANIA VIVA (1)
74484410	14	RESIDENCIAL GOI NIA VIVA	57.1%	RESIDENCIAL GOI NIA VIVA (8) | RESIDENCIAL GOIANIA VIVA (6)
74484413	4	RESIDENCIAL GOIANIA VIVA	50.0%	RESIDENCIAL GOIANIA VIVA (2) | RESIDENCIAL GOIANIA VIAV (1) | RESIDENCIAL GOI NIA VIVA (1)
74484414	13	RESIDENCIAL GOI NIA VIVA	53.8%	RESIDENCIAL GOI NIA VIVA (7) | RESIDENCIAL GOIANIA VIVA (5) | RESIDENCIAL GOINIA VIVA (1)
74484415	4	RESIDENCIAL GOI NIA VIVA	75.0%	RESIDENCIAL GOI NIA VIVA (3) | RESIDENCIAL GOIANIA VIVA (1)
74484416	4	RESIDENCIAL GOI NIA VIVA	50.0%	RESIDENCIAL GOI NIA VIVA (2) | RESIDENCIAL GOIANIA VIVA (2)
74484418	9	RESIDENCIAL GOIANIA VIVA	66.7%	RESIDENCIAL GOIANIA VIVA (6) | RESIDENCIAL GOI NIA VIVA (3)
74484420	4	RESIDENCIAL GOIANIA VIVA	75.0%	RESIDENCIAL GOIANIA VIVA (3) | GOIANIA VIVA (1)
74484422	5	RESIDENCIAL GOI NIA VIVA	60.0%	RESIDENCIAL GOI NIA VIVA (3) | RESIDENCIAL GOIANIA VIVA (2)
74484423	8	RESIDENCIAL GOIANIA VIVA	62.5%	RESIDENCIAL GOIANIA VIVA (5) | RESIDENCIAL GOI NIA VIVA (3)
74484427	9	RESIDENCIAL GOIANIA VIVA	55.6%	RESIDENCIAL GOIANIA VIVA (5) | RESIDENCIAL GOI NIA VIVA (3) | RESIDENCIAL GOINIA VIVA (1)
74484431	9	RESIDENCIAL GOI NIA VIVA	66.7%	RESIDENCIAL GOI NIA VIVA (6) | RESIDENCIAL GOIANIA VIVA (3)
74484432	5	RESIDENCIAL GOI NIA VIVA	60.0%	RESIDENCIAL GOI NIA VIVA (3) | RESIDENCIAL GOIANIA VIVA (2)
74484433	6	RESIDENCIAL GOI NIA VIVA	83.3%	RESIDENCIAL GOI NIA VIVA (5) | RESIDENCIAL GOIANIA VIVA (1)
74484435	2	RESIDENCIAL GOIANIA VIVA	50.0%	RESIDENCIAL GOIANIA VIVA (1) | RESIDENCIAL GOI NIA VIVA (1)
74484444	8	RESIDENCIAL GOIANIA VIVA	50.0%	RESIDENCIAL GOIANIA VIVA (4) | RESIDENCIAL GOI NIA VIVA (3) | RESIDENCIAL GOINIA VIVA (1)
74485260	3	GOIA	66.7%	GOIA (2) | TROPICAL VERDE (1)
74485365	3	GOIA	66.7%	GOIA (2) | JARDIM MIRABEL (1)
74485370	6	GOIA	66.7%	GOIA (4) | JARDIM MIRABEL (2)
74486310	4	SOLANGE PARQUE COMPLEMENTO	75.0%	SOLANGE PARQUE COMPLEMENTO (3) | SOLANGE PARQUE (1)
74487005	3	RESIDENCIAL SAO MARCOS	66.7%	RESIDENCIAL SAO MARCOS (2) | MARABA (1)
74487150	5	RESIDENCIAL SAO MARCOS	80.0%	RESIDENCIAL SAO MARCOS (4) | MARABA (1)
74491130	5	RESIDENCIAL ANA MORAES	80.0%	RESIDENCIAL ANA MORAES (4) | RESIDENCIAL ANA MORAIS (1)
74491469	2	RESIDENCIAL MUNDO NOVO 3	50.0%	RESIDENCIAL MUNDO NOVO 3 (1) | JARDIM NOVO MUNDO (1)
74492030	3	RESIDENCIAL SERRA AZUL ETAPA I	66.7%	RESIDENCIAL SERRA AZUL ETAPA I (2) | RESIDENCIAL SERRA AZUL (1)
74492706	2	JARDIM MIRABEL	50.0%	JARDIM MIRABEL (1) | FAZENDA SANTA RITA QUADRA 01 (1)
74493060	4	CONJUNTO VERA CRUZ	75.0%	CONJUNTO VERA CRUZ (3) | MONTE PASCOAL (1)
74493750	2	CONJUNTO VERA CRUZ 2	50.0%	CONJUNTO VERA CRUZ 2 (1) | CONJUNTO VERA CRUZ (1)
74495290	2	CONJUNTO VERA CRUZ	50.0%	CONJUNTO VERA CRUZ (1) | CONJUNTO VERA CRUZ 2 (1)
74495440	2	CONJUNTO VERA CRUZ II 7 ETAPA	50.0%	CONJUNTO VERA CRUZ II 7 ETAPA (1) | CONJUNTO VERA CRUZ (1)
74495600	2	CONJUNTO VERA CRUZ II	50.0%	CONJUNTO VERA CRUZ II (1) | CONJUNTO VERA CRUZ (1)
74555556	5	ALBINO BOAVENTURA	60.0%	ALBINO BOAVENTURA (3) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (1)
74555557	13	ALBINO BOAVENTURA	69.2%	ALBINO BOAVENTURA (9) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (3) | ALBINO BOA VENTURA (1)
74555558	21	ALBINO BOAVENTURA	52.4%	ALBINO BOAVENTURA (11) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (8) | RESIDENCIAL ALBINO BOAVENTURA (2)
74555559	11	ALBINO BOAVENTURA	45.5%	ALBINO BOAVENTURA (5) | RESIDENCIAL SENADOR ALBINO BOAVENTURA (5) | RESIDENCIAL ALBINO BOAVENTURA (1)
74555561	2	ALBINO BOAVENTURA	50.0%	ALBINO BOAVENTURA (1) | MARABA (1)
74573370	4	SEVENE	75.0%	SEVENE (3) | RESIDENCIAL HUGO DE MORAES (1)
74573387	3	RESIDENCIAL HUGO DE MORAES	66.7%	RESIDENCIAL HUGO DE MORAES (2) | HUGO DE MORAIS (1)
74573388	3	RESIDENCIAL HUGO DE MORAES	66.7%	RESIDENCIAL HUGO DE MORAES (2) | HUGO MORAES (1)
74573391	3	RESIDENCIAL HUGO DE MORAES	66.7%	RESIDENCIAL HUGO DE MORAES (2) | RESIDENCIAL HUGO DE MORAIS (1)
74573393	3	RESIDENCIAL HUGO DE MORAES	66.7%	RESIDENCIAL HUGO DE MORAES (2) | HUGO MORAES (1)
74573426	2	RESIDENCIAL GUAREMA	50.0%	RESIDENCIAL GUAREMA (1) | RESIDENCIA GUAREMA (1)
74580270	4	PERIM	75.0%	PERIM (3) | PROGRESSO (1)
74580860	5	PERIM	60.0%	PERIM (3) | PERIM CONTINUACAO (2)
74583055	3	VILA MARIA DILCE	66.7%	VILA MARIA DILCE (2) | VILA CRISTINA (1)
74583070	3	VILA CRISTINA	33.3%	VILA CRISTINA (1) | MARIA DILCE (1) | VILA MARIA DILCE (1)
74583100	17	VILA MARIA DILCE	94.1%	VILA MARIA DILCE (16) | MARIA DILCE (1)
74583290	3	MARABA	66.7%	MARABA (2) | NOROESTE (1)
74583715	11	JARDIM GRAMADO	81.8%	JARDIM GRAMADO (9) | VILA CRISTINA (1) | VILA MARIA DILCE (1)
74584060	3	VILA CRISTINA	66.7%	VILA CRISTINA (2) | MARIA DILCE (1)
74584120	6	VILA CRISTINA	83.3%	VILA CRISTINA (5) | VILA MARIA DILCE (1)
74584230	6	VILA CRISTINA	66.7%	VILA CRISTINA (4) | VILA CRISTINA CONTINUACAO (2)
74705240	7	JARDIM NOVO MUNDO	85.7%	JARDIM NOVO MUNDO (6) | JD NOVO MUNDO (1)
74710110	9	JARDIM NOVO MUNDO	88.9%	JARDIM NOVO MUNDO (8) | JARDIM EMANUELE (1)
74710160	4	JARDIM NOVO MUNDO	75.0%	JARDIM NOVO MUNDO (3) | VILA MARIA LUIZA (1)
74710260	115	JARDIM NOVO MUNDO	96.5%	JARDIM NOVO MUNDO (111) | RESID EMANUELLI JARDIM NOVO MUNDO (1) | JARDIM EMANUELI (1) | JD EMANUELLE NOVO MUNDO (1) | JARDIM NOVO MUNDO 3 (1)
74711020	3	VILA BANDEIRANTE	66.7%	VILA BANDEIRANTE (2) | JARDIM NOVO MUNDO (1)
74713440	7	JARDIM NOVO MUNDO	85.7%	JARDIM NOVO MUNDO (6) | RESIDENCIAL JARDIM EMANUELE (1)
74720200	5	VILA MARIA LUIZA	80.0%	VILA MARIA LUIZA (4) | MARIA LUIZA (1)
74723100	2	JARDIM BRASIL	50.0%	JARDIM BRASIL (1) | AGUA BRANCA (1)
74730140	2	CONJUNTO RIVIEIRA	50.0%	CONJUNTO RIVIEIRA (1) | CONJUNTO RIVIERA (1)
74740180	2	CONJUNTO ARUANA I	50.0%	CONJUNTO ARUANA I (1) | CONJUNTO RESIDENCIAL ARUANA I (1)
74740440	2	CONJUNTO RESIDENCIAL ARUANA III	50.0%	CONJUNTO RESIDENCIAL ARUANA III (1) | RESIDENCIAL ARUANA III (1)
74805100	12	JARDIM NOVA ESPERANCA	25.0%	JARDIM NOVA ESPERANCA (3) | JARDIM NOVO MUNDO (3) | VILA MUTIRAO (2) | JARDIM CURITIBA IV (1) | ALBINO BOAVENTURA (1) | RESIDENCIAL FORTALEZA (1) | CAPUAVA (1)
74805180	2	JARDIM NOVO MUNDO	50.0%	JARDIM NOVO MUNDO (1) | JARDIM VISTA BELA (1)
74850580	2	PARQUE TREMENDAO	50.0%	PARQUE TREMENDAO (1) | VALE DOS CARAIBAS (1)
75000000	6	JARDIM NOVA ESPERANCA	50.0%	JARDIM NOVA ESPERANCA (3) | SAO CARLOS (1) | JARDIM LIBERDADE (1) | 14 BIS (1)
75712460	2	SAO JOSE	50.0%	SAO JOSE (1) | VILA SAO JOSE (1)
