cep	clientes	status	bairro_padrao_gravacao	familias	motivo
74450310	1	SEGURO	CAPUAVA	CAPUAVA (1)	Todas as variantes pertencem à mesma família
74450330	3	BLOQUEADO		CAPUAVA (1) | Capuava (1) || BAIRRO CAPUAVA (1)	CEP possui famílias de bairros estruturalmente distintas
74450340	4	SEGURO	CAPUAVA	CAPUAVA (3) | Capuava (1)	Todas as variantes pertencem à mesma família
74450360	1	SEGURO	Capuava	Capuava (1)	Todas as variantes pertencem à mesma família
74450370	1	SEGURO	CAPUAVA	CAPUAVA (1)	Todas as variantes pertencem à mesma família
74450380	2	SEGURO	CAPUAVA	CAPUAVA (1) | Capuava (1)	Todas as variantes pertencem à mesma família
74450390	20	REVISAR	CAPUAVA	CAPUAVA (14) | Capuava (4) || BAIRRO CAPUAVA (2)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74450400	31	REVISAR	CAPUAVA	CAPUAVA (23) | Capuava (4) || BAIRRO CAPUAVA (4)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74450420	3	SEGURO	CAPUAVA	CAPUAVA (2) | Capuava (1)	Todas as variantes pertencem à mesma família
74450440	6	BLOQUEADO		CAPUAVA (3) | Capuava (1) || BAIRRO CAPUAVA (2)	CEP possui famílias de bairros estruturalmente distintas
74450450	4	SEGURO	CAPUAVA	CAPUAVA (2) | Capuava (2)	Todas as variantes pertencem à mesma família
74450460	2	SEGURO	CAPUAVA	CAPUAVA (2)	Todas as variantes pertencem à mesma família
74450470	6	REVISAR	CAPUAVA	CAPUAVA (3) | Capuava (2) || MARABA (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74450490	26	REVISAR	CAPUAVA	CAPUAVA (21) | Capuava (2) | SETOR CAPUAVA (1) || BAIRRO CAPUAVA (2)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74450550	1	SEGURO	JARDIM CURITIBA IV	JARDIM CURITIBA IV (1)	Todas as variantes pertencem à mesma família
74451150	1	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (1)	Todas as variantes pertencem à mesma família
74453170	1	SEGURO	VILA JOAO VAZ	VILA JOAO VAZ (1)	Todas as variantes pertencem à mesma família
74453460	2	SEGURO	VILA REGINA	VILA REGINA (2)	Todas as variantes pertencem à mesma família
74453470	4	SEGURO	VILA REGINA	VILA REGINA (3) | Vila Regina (1)	Todas as variantes pertencem à mesma família
74453490	1	SEGURO	VILA REGINA	VILA REGINA (1)	Todas as variantes pertencem à mesma família
74453500	4	SEGURO	VILA REGINA	VILA REGINA (3) | Vila Regina (1)	Todas as variantes pertencem à mesma família
74453540	17	SEGURO	VILA REGINA	VILA REGINA (12) | Vila Regina (4) | Vila regina (1)	Todas as variantes pertencem à mesma família
74453560	13	SEGURO	VILA REGINA	VILA REGINA (9) | Vila Regina (3) | SETOR VILA REGINA (1)	Todas as variantes pertencem à mesma família
74453570	8	SEGURO	Vila Regina	Vila Regina (4) | VILA REGINA (4)	Todas as variantes pertencem à mesma família
74453580	7	SEGURO	VILA REGINA	VILA REGINA (6) | Vila Regina (1)	Todas as variantes pertencem à mesma família
74453590	7	SEGURO	VILA REGINA	VILA REGINA (6) | Vila Regina (1)	Todas as variantes pertencem à mesma família
74453600	8	SEGURO	VILA REGINA	VILA REGINA (4) | Vila Regina (4)	Todas as variantes pertencem à mesma família
74453610	14	SEGURO	VILA REGINA	VILA REGINA (13) | Vila Regina (1)	Todas as variantes pertencem à mesma família
74453620	5	SEGURO	Vila Regina	Vila Regina (3) | VILA REGINA (2)	Todas as variantes pertencem à mesma família
74453625	2	SEGURO	VILA REGINA	VILA REGINA (2)	Todas as variantes pertencem à mesma família
74453650	8	SEGURO	VILA REGINA	VILA REGINA (5) | Vila Regina (3)	Todas as variantes pertencem à mesma família
74454250	1	SEGURO	NOVA ESPERANÇA	NOVA ESPERANÇA (1)	Todas as variantes pertencem à mesma família
74455070	6	SEGURO	JARDIM NOVA ESPERANÇA	JARDIM NOVA ESPERANÇA (5) | NOVA ESPERANÇA (1)	Todas as variantes pertencem à mesma família
74455130	1	SEGURO	VILA JOÃO VAZ	VILA JOÃO VAZ (1)	Todas as variantes pertencem à mesma família
74455530	1	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (1)	Todas as variantes pertencem à mesma família
74455535	1	SEGURO	NOVO MUNDO	NOVO MUNDO (1)	Todas as variantes pertencem à mesma família
74456290	1	SEGURO	JARDIM NOVA ESPERANÇA	JARDIM NOVA ESPERANÇA (1)	Todas as variantes pertencem à mesma família
74460010	7	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (3) | JARDIM PETROPOLIS (3) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460020	23	REVISAR	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (12) | JARDIM PETROPOLIS (7) | Jardim Petrópolis (3) || JARDIM PETROPLIS (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74460030	2	SEGURO	Jardim Petrópolis	Jardim Petrópolis (2)	Todas as variantes pertencem à mesma família
74460035	1	SEGURO	Jardim Petrópolis	Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460040	3	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (3)	Todas as variantes pertencem à mesma família
74460050	10	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (6) | JARDIM PETROPOLIS (2) | Jardim Petrópolis (2)	Todas as variantes pertencem à mesma família
74460060	8	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (4) | JARDIM PETROPOLIS (3) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460070	3	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (2) | JARDIM PETROPOLIS (1)	Todas as variantes pertencem à mesma família
74460080	3	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (2) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460090	1	SEGURO	JARDIM PETROPOLIS	JARDIM PETROPOLIS (1)	Todas as variantes pertencem à mesma família
74460100	1	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (1)	Todas as variantes pertencem à mesma família
74460110	2	BLOQUEADO		JARDIM LIBERDADE (1) || Jardim Petrópolis (1)	CEP possui famílias de bairros estruturalmente distintas
74460120	3	SEGURO	JARDIM PETROPOLIS	JARDIM PETROPOLIS (1) | JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460130	3	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (2) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460170	1	SEGURO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (1)	Todas as variantes pertencem à mesma família
74460180	1	SEGURO	VILA MUTIRAO	VILA MUTIRAO (1)	Todas as variantes pertencem à mesma família
74460390	1	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (1)	Todas as variantes pertencem à mesma família
74460440	2	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460445	1	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (1)	Todas as variantes pertencem à mesma família
74460450	2	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (1) | Jardim Petrópolis (1)	Todas as variantes pertencem à mesma família
74460460	1	SEGURO	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (1)	Todas as variantes pertencem à mesma família
74460470	1	SEGURO	JARDIM PETROPOLIS	JARDIM PETROPOLIS (1)	Todas as variantes pertencem à mesma família
74460500	7	REVISAR	JARDIM PETRÓPOLIS	JARDIM PETRÓPOLIS (3) | JARDIM PETROPOLIS (1) | Jardim Petrópolis (1) || Vila Regina (1) | VILA REGINA (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74460570	1	SEGURO	JARDIM CURITIBA IV	JARDIM CURITIBA IV (1)	Todas as variantes pertencem à mesma família
74460630	3	SEGURO	JARDIM PETROPOLIS	JARDIM PETROPOLIS (2) | JARDIM PETRÓPOLIS (1)	Todas as variantes pertencem à mesma família
74460780	1	SEGURO	Residencial Petrópolis	Residencial Petrópolis (1)	Todas as variantes pertencem à mesma família
74460970	3	BLOQUEADO		VILA FINSOCIAL (1) || VALE DOS CARAIBAS (1) || SETOR MORADA DO SOL (1)	CEP possui famílias de bairros estruturalmente distintas
74461120	1	SEGURO	CONDOMÍNIO DO LAGO	CONDOMÍNIO DO LAGO (1)	Todas as variantes pertencem à mesma família
74461200	1	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (1)	Todas as variantes pertencem à mesma família
74461205	2	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (2)	Todas as variantes pertencem à mesma família
74461210	1	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (1)	Todas as variantes pertencem à mesma família
74461215	4	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (3) | Jardim Clarissa (1)	Todas as variantes pertencem à mesma família
74461220	4	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (3) | Jardim Clarissa (1)	Todas as variantes pertencem à mesma família
74461225	4	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (4)	Todas as variantes pertencem à mesma família
74461230	5	SEGURO	Jardim Clarissa	Jardim Clarissa (3) | JARDIM CLARISSA (2)	Todas as variantes pertencem à mesma família
74461240	1	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (1)	Todas as variantes pertencem à mesma família
74461245	2	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (2)	Todas as variantes pertencem à mesma família
74461250	7	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (6) | Jardim Clarissa (1)	Todas as variantes pertencem à mesma família
74461265	9	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (6) | Jardim Clarissa (3)	Todas as variantes pertencem à mesma família
74461290	3	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (2) | Jardim Clarissa (1)	Todas as variantes pertencem à mesma família
74461295	5	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (3) | Jardim Clarissa (2)	Todas as variantes pertencem à mesma família
74461310	4	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (3) | Jardim Clarissa (1)	Todas as variantes pertencem à mesma família
74461315	2	SEGURO	JARDIM CLARISSA	JARDIM CLARISSA (1) | Jardim Clarissa (1)	Todas as variantes pertencem à mesma família
74461650	1	SEGURO	SANTOS DUMONT	SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74461715	1	SEGURO	MANSÕES PARAISO	MANSÕES PARAISO (1)	Todas as variantes pertencem à mesma família
74462060	1	SEGURO	JARDIM PETROPOLIS	JARDIM PETROPOLIS (1)	Todas as variantes pertencem à mesma família
74462760	1	SEGURO	SANTOS DUMONT	SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463015	2	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463023	3	SEGURO	PARQUE INDUSTRIAL PAULISTA	PARQUE INDUSTRIAL PAULISTA (3)	Todas as variantes pertencem à mesma família
74463025	1	SEGURO	CAPUAVA	CAPUAVA (1)	Todas as variantes pertencem à mesma família
74463030	2	BLOQUEADO		PARQUE INDUSTRIAL PAULISTA (1) || SANTOS DUMONT (1)	CEP possui famílias de bairros estruturalmente distintas
74463060	1	SEGURO	PARQUE INDUSTRIAL PAULISTA	PARQUE INDUSTRIAL PAULISTA (1)	Todas as variantes pertencem à mesma família
74463065	1	SEGURO	VILA REGINA	VILA REGINA (1)	Todas as variantes pertencem à mesma família
74463075	1	SEGURO	Parque Industrial Paulista	Parque Industrial Paulista (1)	Todas as variantes pertencem à mesma família
74463080	1	SEGURO	SANTOS DUMONT	SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463100	8	REVISAR	PARQUE INDUSTRIAL PAULISTA	PARQUE INDUSTRIAL PAULISTA (5) | Parque Industrial Paulista (2) || PARQUE INDUSTRIAL (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74463150	11	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (7) || CANDIDA DE MORAES (3) || CONDOMÍNIO MARESIA , RESIDENCIAL ITAMARACÁ (1)	CEP possui famílias de bairros estruturalmente distintas
74463160	6	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (4) || CANDIDA DE MORAES (2)	CEP possui famílias de bairros estruturalmente distintas
74463165	19	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (8) | Setor Cândida de Morais (4) || CANDIDA DE MORAES (3) | CÂNDIDA DE MORAES (1) || SETOR SANTOS DUMONT (2) || CÂNDIDAS DE MORAIS (1)	CEP possui famílias de bairros estruturalmente distintas
74463170	18	BLOQUEADO		CANDIDA DE MORAES (10) || SETOR CÂNDIDA DE MORAIS (6) | CÂNDIDA DE MORAIS (1) | Setor Cândida de Morais (1)	CEP possui famílias de bairros estruturalmente distintas
74463180	7	SEGURO	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (7)	Todas as variantes pertencem à mesma família
74463190	14	REVISAR	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (7) | Setor Cândida de Morais (4) | CANDIDA DE MORAIS (1) || CANDIDA DE MORAES (2)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74463200	44	REVISAR	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (21) | Setor Cândida de Morais (8) | CANDIDA DE MORAIS (1) | SETOR CANDIDA DE MORAIS (1) || CANDIDA DE MORAES (11) || SETOR CANDIDADE MORAES (1) || JARDIM NOVA ESPERANÇA (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74463210	22	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (11) | Setor Cândida de Morais (3) || CANDIDA DE MORAES (7) || CENTRO (1)	CEP possui famílias de bairros estruturalmente distintas
74463220	29	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (11) | Setor Cândida de Morais (5) || CANDIDA DE MORAES (13)	CEP possui famílias de bairros estruturalmente distintas
74463230	20	REVISAR	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (10) | Setor Cândida de Morais (3) || CANDIDA DE MORAES (7)	Há família dominante, porém sem segurança suficiente para alteração automática
74463240	22	BLOQUEADO		CANDIDA DE MORAES (11) || SETOR CÂNDIDA DE MORAIS (6) | Setor Cândida de Morais (4) || JARDIM NOVA ESPERANÇA (1)	CEP possui famílias de bairros estruturalmente distintas
74463250	8	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (5) || CANDIDA DE MORAES (3)	CEP possui famílias de bairros estruturalmente distintas
74463260	23	REVISAR	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (14) | CANDIDA DE MORAIS (1) | Setor Cândida de Morais (1) || CANDIDA DE MORAES (7)	Há família dominante, porém sem segurança suficiente para alteração automática
74463270	6	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (3) || CANDIDA DE MORAES (2) || SANTOS DUMONT (1)	CEP possui famílias de bairros estruturalmente distintas
74463280	292	REVISAR	CANDIDA DE MORAES	CANDIDA DE MORAES (265) | SETOR CANDIDA DE MORAES (1) || SETOR CÂNDIDA DE MORAIS (17) | Setor Cândida de Morais (5) || JARDIM NOVA ESPERANÇA (3) || CANDIDO DE MORAES (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74463290	4	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (2) || CAPUAVA (1) || CANDIDA DE MORAES (1)	CEP possui famílias de bairros estruturalmente distintas
74463310	1	SEGURO	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (1)	Todas as variantes pertencem à mesma família
74463317	2	BLOQUEADO		CAPUAVA (1) || Setor Cândida de Morais (1)	CEP possui famílias de bairros estruturalmente distintas
74463320	15	REVISAR	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (11) | Setor Cândida de Morais (2) || CANDIDA DE MORAES (2)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74463330	16	BLOQUEADO		SETOR CÂNDIDA DE MORAIS (8) | CÂNDIDA DE MORAIS (1) | Setor Cândida de Morais (1) || CANDIDA DE MORAES (5) | SETOR CANDIDA DE MORAES (1)	CEP possui famílias de bairros estruturalmente distintas
74463335	1	SEGURO	SETOR CÂNDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS (1)	Todas as variantes pertencem à mesma família
74463338	1	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES (1)	Todas as variantes pertencem à mesma família
74463340	16	REVISAR	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (6) | SANTOS DUMONT (5) | Setor Santos Dumont (1) || CANDIDA DE MORAES (4)	Há família dominante, porém sem segurança suficiente para alteração automática
74463348	1	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463350	2	SEGURO	SETOR SANTOS DUMONT	SANTOS DUMONT (1) | SETOR SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463360	5	SEGURO	SETOR SANTOS DUMONT	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463370	4	SEGURO	SETOR SANTOS DUMONT	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2)	Todas as variantes pertencem à mesma família
74463375	2	BLOQUEADO		CANDIDA DE MORAES (1) || SETOR SANTOS DUMONT (1)	CEP possui famílias de bairros estruturalmente distintas
74463380	24	REVISAR	SANTOS DUMONT	SANTOS DUMONT (11) | SETOR SANTOS DUMONT (8) | Setor Santos Dumont (4) || JARDIM NOVA ESPERANCA (1)	Família dominante identificada, mas existem famílias distintas no mesmo CEP
74463400	9	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (6) | Setor Santos Dumont (2) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463410	2	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (2)	Todas as variantes pertencem à mesma família
74463414	1	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES (1)	Todas as variantes pertencem à mesma família
74463430	6	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (3) | Setor Santos Dumont (2) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463440	3	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (3)	Todas as variantes pertencem à mesma família
74463445	5	SEGURO	SETOR SANTOS DUMONT	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463450	2	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463460	2	SEGURO	Setor Santos Dumont	SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463470	4	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463480	6	SEGURO	Setor Santos Dumont	Setor Santos Dumont (3) | SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463490	13	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (7) | SANTOS DUMONT (4) | Setor Santos Dumont (2)	Todas as variantes pertencem à mesma família
74463500	7	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (5) | SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463510	7	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (6) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463520	5	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (2) | Setor Santos Dumont (2) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463550	4	SEGURO	SANTOS DUMONT	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463560	5	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (4) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463570	4	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (3) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463580	4	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463590	2	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463600	5	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (4) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463610	6	SEGURO	SANTOS DUMONT	SANTOS DUMONT (4) | SETOR SANTOS DUMONT (2)	Todas as variantes pertencem à mesma família
74463615	5	BLOQUEADO		SETOR SANTOS DUMONT (2) | Setor Santos Dumont (1) || SETOR CÂNDIDA DE MORAIS (1) || Jardim nova esperança (1)	CEP possui famílias de bairros estruturalmente distintas
74463620	3	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463630	3	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463640	7	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (2) | Setor Santos Dumont (2)	Todas as variantes pertencem à mesma família
74463650	2	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463660	24	SEGURO	Setor Santos Dumont	Setor Santos Dumont (8) | SANTOS DUMONT (8) | SETOR SANTOS DUMONT (8)	Todas as variantes pertencem à mesma família
74463670	12	SEGURO	SANTOS DUMONT	SANTOS DUMONT (7) | SETOR SANTOS DUMONT (3) | Setor Santos Dumont (2)	Todas as variantes pertencem à mesma família
74463680	5	SEGURO	SANTOS DUMONT	SANTOS DUMONT (3) | Setor Santos Dumont (1) | SETOR SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463690	13	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (10) | SANTOS DUMONT (2) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463710	2	SEGURO	Setor Santos Dumont	SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463720	2	SEGURO	SANTOS DUMONT	SANTOS DUMONT (2)	Todas as variantes pertencem à mesma família
74463730	2	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463740	3	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463750	8	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (4) | SANTOS DUMONT (3) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463760	33	SEGURO	SANTOS DUMONT	SANTOS DUMONT (16) | SETOR SANTOS DUMONT (14) | Setor Santos Dumont (3)	Todas as variantes pertencem à mesma família
74463770	26	SEGURO	SANTOS DUMONT	SANTOS DUMONT (13) | SETOR SANTOS DUMONT (10) | Setor Santos Dumont (3)	Todas as variantes pertencem à mesma família
74463780	15	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (9) | SANTOS DUMONT (4) | Setor Santos Dumont (2)	Todas as variantes pertencem à mesma família
74463790	7	SEGURO	SANTOS DUMONT	SANTOS DUMONT (4) | SETOR SANTOS DUMONT (3)	Todas as variantes pertencem à mesma família
74463800	8	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (5) | Setor Santos Dumont (3)	Todas as variantes pertencem à mesma família
74463810	18	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (11) | SANTOS DUMONT (7)	Todas as variantes pertencem à mesma família
74463820	10	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (6) | Setor Santos Dumont (3) | SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
74463830	14	SEGURO	SETOR SANTOS DUMONT	SETOR SANTOS DUMONT (7) | SANTOS DUMONT (6) | Setor Santos Dumont (1)	Todas as variantes pertencem à mesma família
74463831	1	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (1)	Todas as variantes pertencem à mesma família
74463833	2	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (2)	Todas as variantes pertencem à mesma família
74463835	8	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (4) | Residencial 14 Bis (4)	Todas as variantes pertencem à mesma família
74463836	9	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (5) | Residencial 14 Bis (4)	Todas as variantes pertencem à mesma família
74463837	2	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (1) | Residencial 14 Bis (1)	Todas as variantes pertencem à mesma família
74463838	2	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS (2)	Todas as variantes pertencem à mesma família
74463840	3	SEGURO	Jardim Bonanza	Jardim Bonanza (3)	Todas as variantes pertencem à mesma família
74463846	2	SEGURO	JARDIM BONANZA	JARDIM BONANZA (1) | Jardim Bonanza (1)	Todas as variantes pertencem à mesma família
74463848	4	SEGURO	JARDIM BONANZA	JARDIM BONANZA (3) | Jardim Bonanza (1)	Todas as variantes pertencem à mesma família
74463850	6	REVISAR	JARDIM BONANZA	JARDIM BONANZA (3) | Jardim Bonanza (2) || SANTOS DUMONT (1)	Há família dominante, porém sem segurança suficiente para alteração automática
74463852	3	SEGURO	JARDIM BONANZA	JARDIM BONANZA (3)	Todas as variantes pertencem à mesma família
74463856	3	SEGURO	JARDIM BONANZA	JARDIM BONANZA (2) | Jardim Bonanza (1)	Todas as variantes pertencem à mesma família
74463860	2	SEGURO	JARDIM BONANZA	JARDIM BONANZA (2)	Todas as variantes pertencem à mesma família
74463862	7	SEGURO	JARDIM BONANZA	JARDIM BONANZA (5) | Jardim Bonanza (2)	Todas as variantes pertencem à mesma família
74463868	6	SEGURO	JARDIM BONANZA	JARDIM BONANZA (4) | Jardim Bonanza (2)	Todas as variantes pertencem à mesma família
74463870	1	SEGURO	JARDIM BONANZA	JARDIM BONANZA (1)	Todas as variantes pertencem à mesma família
74463872	2	SEGURO	JARDIM BONANZA	JARDIM BONANZA (2)	Todas as variantes pertencem à mesma família
74463874	1	SEGURO	Jardim Bonanza	Jardim Bonanza (1)	Todas as variantes pertencem à mesma família
74463875	7	SEGURO	JARDIM BONANZA	JARDIM BONANZA (7)	Todas as variantes pertencem à mesma família
74464000	4	SEGURO	SETOR BARRA DA TIJUCA	SETOR BARRA DA TIJUCA (2) | BARRA DA TIJUCA (1) | Setor Barra da Tijuca (1)	Todas as variantes pertencem à mesma família
74464010	13	SEGURO	BARRA DA TIJUCA	BARRA DA TIJUCA (6) | SETOR BARRA DA TIJUCA (5) | Setor Barra da Tijuca (2)	Todas as variantes pertencem à mesma família
