cep	status	bairro_sugerido	bairro_principal_original	clientes_total	clientes_principal	clientes_a_alterar	percentual_principal	familias	variacoes
74463338	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES	1	1	0	100.0	1	CANDIDA DE MORAES (1)
74463340	BLOQUEADO	SANTOS DUMONT	SETOR SANTOS DUMONT	16	6	10	75.0	2	SETOR SANTOS DUMONT (6) | SANTOS DUMONT (5) | CANDIDA DE MORAES (4) | Setor Santos Dumont (1)
74463348	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	1	1	0	100.0	1	SETOR SANTOS DUMONT (1)
74463350	SEGURO	SANTOS DUMONT	SANTOS DUMONT	2	1	1	100.0	1	SANTOS DUMONT (1) | SETOR SANTOS DUMONT (1)
74463360	SEGURO	SANTOS DUMONT	SANTOS DUMONT	5	2	3	100.0	1	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2) | Setor Santos Dumont (1)
74463370	SEGURO	SANTOS DUMONT	SANTOS DUMONT	4	2	2	100.0	1	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2)
74463375	BLOQUEADO	CANDIDA DE MORAES	CANDIDA DE MORAES	2	1	1	50.0	2	CANDIDA DE MORAES (1) | SETOR SANTOS DUMONT (1)
74463380	REVISAR	SANTOS DUMONT	SANTOS DUMONT	24	11	13	95.83	2	SANTOS DUMONT (11) | SETOR SANTOS DUMONT (8) | Setor Santos Dumont (4) | JARDIM NOVA ESPERANCA (1)
74463400	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	9	6	3	100.0	1	SETOR SANTOS DUMONT (6) | Setor Santos Dumont (2) | SANTOS DUMONT (1)
74463410	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	2	2	0	100.0	1	SETOR SANTOS DUMONT (2)
74463414	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES	1	1	0	100.0	1	CANDIDA DE MORAES (1)
74463430	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	6	3	3	100.0	1	SETOR SANTOS DUMONT (3) | Setor Santos Dumont (2) | SANTOS DUMONT (1)
74463440	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	3	3	0	100.0	1	SETOR SANTOS DUMONT (3)
74463445	SEGURO	SANTOS DUMONT	SANTOS DUMONT	5	2	3	100.0	1	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (2) | Setor Santos Dumont (1)
74463450	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	2	1	1	100.0	1	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463460	SEGURO	SANTOS DUMONT	SANTOS DUMONT	2	1	1	100.0	1	SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463470	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	4	3	1	100.0	1	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (1)
74463480	SEGURO	SANTOS DUMONT	Setor Santos Dumont	6	3	3	100.0	1	Setor Santos Dumont (3) | SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)
74463490	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	13	7	6	100.0	1	SETOR SANTOS DUMONT (7) | SANTOS DUMONT (4) | Setor Santos Dumont (2)
74463500	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	7	5	2	100.0	1	SETOR SANTOS DUMONT (5) | SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463510	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	7	6	1	100.0	1	SETOR SANTOS DUMONT (6) | Setor Santos Dumont (1)
74463520	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	5	2	3	100.0	1	SETOR SANTOS DUMONT (2) | Setor Santos Dumont (2) | SANTOS DUMONT (1)
74463550	SEGURO	SANTOS DUMONT	SANTOS DUMONT	4	2	2	100.0	1	SANTOS DUMONT (2) | SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463560	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	5	4	1	100.0	1	SETOR SANTOS DUMONT (4) | Setor Santos Dumont (1)
74463570	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	4	3	1	100.0	1	SETOR SANTOS DUMONT (3) | Setor Santos Dumont (1)
74463580	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	4	2	2	100.0	1	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463590	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	2	1	1	100.0	1	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463600	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	5	4	1	100.0	1	SETOR SANTOS DUMONT (4) | Setor Santos Dumont (1)
74463610	SEGURO	SANTOS DUMONT	SANTOS DUMONT	6	4	2	100.0	1	SANTOS DUMONT (4) | SETOR SANTOS DUMONT (2)
74463615	BLOQUEADO	SANTOS DUMONT	SETOR SANTOS DUMONT	5	2	3	60.0	3	SETOR SANTOS DUMONT (2) | Jardim nova esperança (1) | SETOR CÂNDIDA DE MORAIS (1) | Setor Santos Dumont (1)
74463620	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	3	2	1	100.0	1	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)
74463630	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	3	2	1	100.0	1	SETOR SANTOS DUMONT (2) | SANTOS DUMONT (1)
74463640	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	7	3	4	100.0	1	SETOR SANTOS DUMONT (3) | SANTOS DUMONT (2) | Setor Santos Dumont (2)
74463650	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	2	1	1	100.0	1	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463660	SEGURO	SANTOS DUMONT	SANTOS DUMONT	24	8	16	100.0	1	SANTOS DUMONT (8) | Setor Santos Dumont (8) | SETOR SANTOS DUMONT (8)
74463670	SEGURO	SANTOS DUMONT	SANTOS DUMONT	12	7	5	100.0	1	SANTOS DUMONT (7) | SETOR SANTOS DUMONT (3) | Setor Santos Dumont (2)
74463680	SEGURO	SANTOS DUMONT	SANTOS DUMONT	5	3	2	100.0	1	SANTOS DUMONT (3) | Setor Santos Dumont (1) | SETOR SANTOS DUMONT (1)
74463690	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	13	10	3	100.0	1	SETOR SANTOS DUMONT (10) | SANTOS DUMONT (2) | Setor Santos Dumont (1)
74463710	SEGURO	SANTOS DUMONT	SANTOS DUMONT	2	1	1	100.0	1	SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463720	SEGURO	SANTOS DUMONT	SANTOS DUMONT	2	2	0	100.0	1	SANTOS DUMONT (2)
74463730	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	2	1	1	100.0	1	SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463740	SEGURO	SANTOS DUMONT	SANTOS DUMONT	3	1	2	100.0	1	SANTOS DUMONT (1) | SETOR SANTOS DUMONT (1) | Setor Santos Dumont (1)
74463750	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	8	4	4	100.0	1	SETOR SANTOS DUMONT (4) | SANTOS DUMONT (3) | Setor Santos Dumont (1)
74463760	SEGURO	SANTOS DUMONT	SANTOS DUMONT	33	16	17	100.0	1	SANTOS DUMONT (16) | SETOR SANTOS DUMONT (14) | Setor Santos Dumont (3)
74463770	SEGURO	SANTOS DUMONT	SANTOS DUMONT	26	13	13	100.0	1	SANTOS DUMONT (13) | SETOR SANTOS DUMONT (10) | Setor Santos Dumont (3)
74463780	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	15	9	6	100.0	1	SETOR SANTOS DUMONT (9) | SANTOS DUMONT (4) | Setor Santos Dumont (2)
74463790	SEGURO	SANTOS DUMONT	SANTOS DUMONT	7	4	3	100.0	1	SANTOS DUMONT (4) | SETOR SANTOS DUMONT (3)
74463800	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	8	5	3	100.0	1	SETOR SANTOS DUMONT (5) | Setor Santos Dumont (3)
74463810	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	18	11	7	100.0	1	SETOR SANTOS DUMONT (11) | SANTOS DUMONT (7)
74463820	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	10	6	4	100.0	1	SETOR SANTOS DUMONT (6) | Setor Santos Dumont (3) | SANTOS DUMONT (1)
74463830	SEGURO	SANTOS DUMONT	SETOR SANTOS DUMONT	14	7	7	100.0	1	SETOR SANTOS DUMONT (7) | SANTOS DUMONT (6) | Setor Santos Dumont (1)
74463831	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	1	1	0	100.0	1	RESIDENCIAL 14 BIS (1)
74463833	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	2	2	0	100.0	1	RESIDENCIAL 14 BIS (2)
74463835	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	8	4	4	100.0	1	RESIDENCIAL 14 BIS (4) | Residencial 14 Bis (4)
74463836	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	9	5	4	100.0	1	RESIDENCIAL 14 BIS (5) | Residencial 14 Bis (4)
74463837	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	2	1	1	100.0	1	RESIDENCIAL 14 BIS (1) | Residencial 14 Bis (1)
74463838	SEGURO	RESIDENCIAL 14 BIS	RESIDENCIAL 14 BIS	2	2	0	100.0	1	RESIDENCIAL 14 BIS (2)
74463840	SEGURO	JARDIM BONANZA	Jardim Bonanza	3	3	0	100.0	1	Jardim Bonanza (3)
74463846	SEGURO	JARDIM BONANZA	JARDIM BONANZA	2	1	1	100.0	1	JARDIM BONANZA (1) | Jardim Bonanza (1)
74463848	SEGURO	JARDIM BONANZA	JARDIM BONANZA	4	3	1	100.0	1	JARDIM BONANZA (3) | Jardim Bonanza (1)
74463850	BLOQUEADO	JARDIM BONANZA	JARDIM BONANZA	6	3	3	83.33	2	JARDIM BONANZA (3) | Jardim Bonanza (2) | SANTOS DUMONT (1)
74463852	SEGURO	JARDIM BONANZA	JARDIM BONANZA	3	3	0	100.0	1	JARDIM BONANZA (3)
74463856	SEGURO	JARDIM BONANZA	JARDIM BONANZA	3	2	1	100.0	1	JARDIM BONANZA (2) | Jardim Bonanza (1)
74463860	SEGURO	JARDIM BONANZA	JARDIM BONANZA	2	2	0	100.0	1	JARDIM BONANZA (2)
74463862	SEGURO	JARDIM BONANZA	JARDIM BONANZA	7	5	2	100.0	1	JARDIM BONANZA (5) | Jardim Bonanza (2)
74463868	SEGURO	JARDIM BONANZA	JARDIM BONANZA	6	4	2	100.0	1	JARDIM BONANZA (4) | Jardim Bonanza (2)
74463870	SEGURO	JARDIM BONANZA	JARDIM BONANZA	1	1	0	100.0	1	JARDIM BONANZA (1)
74463872	SEGURO	JARDIM BONANZA	JARDIM BONANZA	2	2	0	100.0	1	JARDIM BONANZA (2)
74463874	SEGURO	JARDIM BONANZA	Jardim Bonanza	1	1	0	100.0	1	Jardim Bonanza (1)
74463875	SEGURO	JARDIM BONANZA	JARDIM BONANZA	7	7	0	100.0	1	JARDIM BONANZA (7)
74464000	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	4	2	2	100.0	1	SETOR BARRA DA TIJUCA (2) | BARRA DA TIJUCA (1) | Setor Barra da Tijuca (1)
74464010	SEGURO	BARRA DA TIJUCA	BARRA DA TIJUCA	13	6	7	100.0	1	BARRA DA TIJUCA (6) | SETOR BARRA DA TIJUCA (5) | Setor Barra da Tijuca (2)
74464016	SEGURO	DA TIJUCA	BAIRRO DA TIJUCA	1	1	0	100.0	1	BAIRRO DA TIJUCA (1)
74464020	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	1	1	0	100.0	1	SETOR BARRA DA TIJUCA (1)
74464025	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	5	4	1	100.0	1	SETOR BARRA DA TIJUCA (4) | BARRA DA TIJUCA (1)
74464030	SEGURO	BARRA DA TIJUCA	BARRA DA TIJUCA	5	2	3	100.0	1	BARRA DA TIJUCA (2) | SETOR BARRA DA TIJUCA (2) | Setor Barra da Tijuca (1)
74464040	SEGURO	BARRA DA TIJUCA	BARRA DA TIJUCA	3	1	2	100.0	1	BARRA DA TIJUCA (1) | SETOR BARRA DA TIJUCA (1) | Setor Barra da Tijuca (1)
74464045	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	2	2	0	100.0	1	SETOR BARRA DA TIJUCA (2)
74464055	SEGURO	BARRA DA TIJUCA	BARRA DA TIJUCA	1	1	0	100.0	1	BARRA DA TIJUCA (1)
74464060	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	1	1	0	100.0	1	SETOR BARRA DA TIJUCA (1)
74464065	SEGURO	BARRA DA TIJUCA	Setor Barra da Tijuca	1	1	0	100.0	1	Setor Barra da Tijuca (1)
74464070	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	5	3	2	100.0	1	SETOR BARRA DA TIJUCA (3) | BARRA DA TIJUCA (1) | Setor Barra da Tijuca (1)
74464075	SEGURO	BARRA DA TIJUCA	SETOR BARRA DA TIJUCA	4	2	2	100.0	1	SETOR BARRA DA TIJUCA (2) | BARRA DA TIJUCA (1) | Setor Barra da Tijuca (1)
74464110	SEGURO	JARDIM NOVO PETROPOLIS	Jardim Novo Petrópolis	1	1	0	100.0	1	Jardim Novo Petrópolis (1)
74464120	BLOQUEADO	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETRÓPOLIS	2	1	1	50.0	2	JARDIM NOVO PETRÓPOLIS (1) | JARDIM PETROPOLIS (1)
74464130	BLOQUEADO	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETRÓPOLIS	4	2	2	50.0	2	JARDIM NOVO PETRÓPOLIS (2) | JARDIM PETROPOLIS (1) | JARDIM PETRÓPOLIS (1)
74464135	BLOQUEADO	JARDIM NOVO PETROPOLIS	Jardim Novo Petrópolis	11	5	6	81.82	2	Jardim Novo Petrópolis (5) | JARDIM NOVO PETRÓPOLIS (4) | JARDIM PETROPOLIS (1) | JARDIM PETRÓPOLIS (1)
74464145	SEGURO	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETRÓPOLIS	4	3	1	100.0	1	JARDIM NOVO PETRÓPOLIS (3) | Jardim Novo Petrópolis (1)
74464149	SEGURO	JARDIM NOVO PETROPOLIS	Jardim Novo Petrópolis	2	1	1	100.0	1	Jardim Novo Petrópolis (1) | JARDIM NOVO PETRÓPOLIS (1)
74464150	SEGURO	RESIDENCIAL 14 BIS EXTENSAO	RESIDENCIAL 14 BIS EXTENSÃO	2	2	0	100.0	1	RESIDENCIAL 14 BIS EXTENSÃO (2)
74464155	BLOQUEADO	RESIDENCIAL 14 BIS EXTENSAO	RESIDENCIAL 14 BIS EXTENSÃO	4	2	2	75.0	2	RESIDENCIAL 14 BIS EXTENSÃO (2) | RESIDENCIAL 14 BIS (1) | Residencial 14 Bis Extensão (1)
74464165	SEGURO	RESIDENCIAL 14 BIS EXTENSAO	RESIDENCIAL 14 BIS EXTENSÃO	1	1	0	100.0	1	RESIDENCIAL 14 BIS EXTENSÃO (1)
74464534	SEGURO	MARABA	SETOR MARABÁ	1	1	0	100.0	1	SETOR MARABÁ (1)
74465010	REVISAR	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	33	27	6	96.97	2	JARDIM NOVA ESPERANÇA (27) | Jardim Nova Esperança (5) | JARDIM NOVA ESPERANÇAA (1)
74465020	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	36	33	3	100.0	1	JARDIM NOVA ESPERANÇA (33) | Jardim Nova Esperança (3)
74465025	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	15	11	4	86.67	3	JARDIM NOVA ESPERANÇA (11) | Jardim Nova Esperança (2) | CANDIDA DE MORAES (1) | CANDIDA DE MORAIS (1)
74465030	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	4	4	0	100.0	1	JARDIM NOVA ESPERANÇA (4)
74465040	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	6	6	0	100.0	1	JARDIM NOVA ESPERANÇA (6)
74465050	REVISAR	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	46	39	7	97.83	2	JARDIM NOVA ESPERANÇA (39) | Jardim Nova Esperança (6) | NOVA ESPERANÇA (1)
74465060	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	3	0	100.0	1	JARDIM NOVA ESPERANÇA (3)
74465070	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	45	35	10	100.0	1	JARDIM NOVA ESPERANÇA (35) | Jardim Nova Esperança (8) | JARDIM NOVA ESPERANCA (1) | Jardim Nova esperança (1)
74465080	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	2	1	1	50.0	2	JARDIM NOVA ESPERANÇA (1) | PARQUE TREMENDÃO (1)
74465090	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	4	2	2	75.0	2	JARDIM NOVA ESPERANÇA (2) | Jardim Nova Esperança (1) | PARQUE DAS FLORES (1)
74465100	REVISAR	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	81	63	18	97.53	3	JARDIM NOVA ESPERANÇA (63) | Jardim Nova Esperança (16) | JARDIM GRAMADO (1) | NOVA ESPERANÇA (1)
74465110	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
74465120	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	47	36	11	100.0	1	JARDIM NOVA ESPERANÇA (36) | Jardim Nova Esperança (11)
74465140	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	130	69	61	63.85	16	JARDIM NOVA ESPERANÇA (69) | JARDIM COLORADO (13) | Jardim Nova Esperança (12) | JARDIM DAS HORTÊNCIAS (6) | NOVO PLANALTO (5) | SETOR MARABÁ (4) | CANDIDA DE MORAES (3) | JARDIM DAS HORTENCIAS (2) | JARDIM LIBERDADE (2) | JARDIM NOVA ESPERANCA (2) | MANSÕES PARAÍSO (2) | NOVA ESPERANÇA (2) | SETOR NOROESTE (2) | ALBINO BOAVENTURA (1) | JARDIM HELLOU (1) | MORADA DO SOL (1) | PARQUE TREMENDÃO (1) | RESIDENCIAL MANSOES PARAISO (1) | VILA FINSOCIAL (1)
74465150	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	34	28	6	100.0	1	JARDIM NOVA ESPERANÇA (28) | Jardim Nova Esperança (6)
74465160	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	48	41	7	100.0	1	JARDIM NOVA ESPERANÇA (41) | Jardim Nova Esperança (7)
74465170	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	17	15	2	100.0	1	JARDIM NOVA ESPERANÇA (15) | Jardim Nova Esperança (2)
74465180	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	2	2	0	100.0	1	JARDIM NOVA ESPERANÇA (2)
74465190	REVISAR	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	57	42	15	98.25	2	JARDIM NOVA ESPERANÇA (42) | Jardim Nova Esperança (14) | NOVA ESPERANÇA (1)
74465200	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	21	21	0	100.0	1	JARDIM NOVA ESPERANÇA (21)
74465210	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	52	43	9	100.0	1	JARDIM NOVA ESPERANÇA (43) | Jardim Nova Esperança (8) | JARDIM NOVA ESPERANCA (1)
74465215	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	18	12	6	94.44	2	JARDIM NOVA ESPERANÇA (12) | Jardim Nova Esperança (5) | PARQUE TREMENDAO (1)
74465220	SEGURO	JARDIM NOVA ESPERANCA	Jardim Nova Esperança	4	2	2	100.0	1	Jardim Nova Esperança (2) | JARDIM NOVA ESPERANCA (1) | JARDIM NOVA ESPERANÇA (1)
74465230	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	2	1	100.0	1	JARDIM NOVA ESPERANÇA (2) | Jardim Nova Esperança (1)
74465240	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	2	2	0	100.0	1	JARDIM NOVA ESPERANÇA (2)
74465250	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	13	8	5	100.0	1	JARDIM NOVA ESPERANÇA (8) | Jardim Nova Esperança (5)
74465260	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	7	6	1	100.0	1	JARDIM NOVA ESPERANÇA (6) | Jardim Nova Esperança (1)
74465270	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	59	45	14	100.0	1	JARDIM NOVA ESPERANÇA (45) | Jardim Nova Esperança (13) | JARDIM NOVA ESPERANCA (1)
74465280	REVISAR	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	60	53	7	95.0	4	JARDIM NOVA ESPERANÇA (53) | Jardim Nova Esperança (4) | CANDIDA DE MORAES (1) | NOVA ESPERANÇA (1) | SANTOS DUMONT (1)
74465290	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	62	55	7	100.0	1	JARDIM NOVA ESPERANÇA (55) | Jardim Nova Esperança (7)
74465299	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
74465300	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	10	6	4	100.0	1	JARDIM NOVA ESPERANÇA (6) | Jardim Nova Esperança (3) | JARDIM NOVA ESPERANCA (1)
74465310	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	24	12	12	87.5	3	JARDIM NOVA ESPERANÇA (12) | Jardim Nova Esperança (9) | JARDIM NOVO MUNDO (2) | BARRA DA TIJUCA (1)
74465320	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	3	0	100.0	1	JARDIM NOVA ESPERANÇA (3)
74465330	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
74465340	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	14	13	1	100.0	1	JARDIM NOVA ESPERANÇA (13) | Jardim Nova Esperança (1)
74465350	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	34	28	6	100.0	1	JARDIM NOVA ESPERANÇA (28) | Jardim Nova Esperança (6)
74465360	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	6	4	2	83.33	2	JARDIM NOVA ESPERANÇA (4) | Jardim Nova Esperança (1) | NOVA ESPERANÇA (1)
74465370	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	20	16	4	100.0	1	JARDIM NOVA ESPERANÇA (16) | Jardim Nova Esperança (4)
74465380	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	8	8	0	100.0	1	JARDIM NOVA ESPERANÇA (8)
74465390	REVISAR	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	46	37	9	95.65	2	JARDIM NOVA ESPERANÇA (37) | Jardim Nova Esperança (6) | NOVA ESPERANÇA (2) | JARDIM NOVA ESPERANCA (1)
74465400	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	4	4	0	100.0	1	JARDIM NOVA ESPERANÇA (4)
74465410	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	2	1	100.0	1	JARDIM NOVA ESPERANÇA (2) | Jardim Nova Esperança (1)
74465420	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	60	47	13	100.0	1	JARDIM NOVA ESPERANÇA (47) | Jardim Nova Esperança (13)
74465440	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	48	39	9	100.0	1	JARDIM NOVA ESPERANÇA (39) | Jardim Nova Esperança (8) | JARDIM NOVA ESPERANCA (1)
74465445	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	306	273	33	91.18	3	JARDIM NOVA ESPERANÇA (273) | CANDIDA DE MORAES (26) | Jardim Nova Esperança (6) | JARDIM COLORADO (1)
74465450	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	7	5	2	100.0	1	JARDIM NOVA ESPERANÇA (5) | JARDIM NOVA ESPERANCA (1) | Jardim Nova Esperança (1)
74465460	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	23	20	3	100.0	1	JARDIM NOVA ESPERANÇA (20) | Jardim Nova Esperança (2) | JARDIM NOVA  ESPERANÇA (1)
74465470	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
74465490	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	14	11	3	100.0	1	JARDIM NOVA ESPERANÇA (11) | Jardim Nova Esperança (3)
74465500	SEGURO	SANTOS DUMONT	SANTOS DUMONT	1	1	0	100.0	1	SANTOS DUMONT (1)
74465510	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	3	0	100.0	1	JARDIM NOVA ESPERANÇA (3)
74465520	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	7	6	1	100.0	1	JARDIM NOVA ESPERANÇA (6) | Jardim Nova Esperança (1)
74465521	SEGURO	MARABA	SETOR MARABÁ	7	5	2	100.0	1	SETOR MARABÁ (5) | Setor Marabá (2)
74465523	SEGURO	MARABA	SETOR MARABÁ	2	2	0	100.0	1	SETOR MARABÁ (2)
74465524	BLOQUEADO	MARABA	SETOR MARABÁ	19	14	5	89.47	2	SETOR MARABÁ (14) | Setor Marabá (2) | SETOR NOROESTE (2) | SETOR MARABA (1)
74465526	SEGURO	MARABA	SETOR MARABÁ	1	1	0	100.0	1	SETOR MARABÁ (1)
74465527	BLOQUEADO	MARABA	SETOR MARABÁ	6	4	2	83.33	2	SETOR MARABÁ (4) | RESIDENCIAL SAO MARCOS (1) | Setor Marabá (1)
74465528	SEGURO	MARABA	SETOR MARABA	2	1	1	100.0	1	SETOR MARABA (1) | SETOR MARABÁ (1)
74465529	SEGURO	MARABA	SETOR MARABÁ	1	1	0	100.0	1	SETOR MARABÁ (1)
74465530	SEGURO	MARABA	SETOR MARABÁ	2	2	0	100.0	1	SETOR MARABÁ (2)
74465531	SEGURO	MARABA	SETOR MARABÁ	6	6	0	100.0	1	SETOR MARABÁ (6)
74465532	SEGURO	MARABA	SETOR MARABÁ	5	5	0	100.0	1	SETOR MARABÁ (5)
74465534	SEGURO	MARABA	SETOR MARABÁ	2	1	1	100.0	1	SETOR MARABÁ (1) | SETOR MARABA (1)
