CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	PERCENTUAL	QTD_FAMILIAS	SIMILARIDADE	FAMILIAS	ORIGINAIS
74463190	14	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	85.7	2	0.941	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (2)	Setor Cândida de Morais (11) | CANDIDA DE MORAES (2) | CANDIDA DE MORAIS (1)
74463200	44	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	70.5	4	0.941	CANDIDA DE MORAIS (31) | CANDIDA DE MORAES (11) | JARDIM NOVA ESPERANCA (1) | CANDIDADE MORAES (1)	Setor Cândida de Morais (30) | CANDIDA DE MORAES (11) | JARDIM NOVA ESPERANÇA (1) | SETOR CANDIDADE MORAES (1) | CANDIDA DE MORAIS (1)
74463210	22	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	63.6	3	0.941	CANDIDA DE MORAIS (14) | CANDIDA DE MORAES (7) | CENTRO (1)	SETOR CÂNDIDA DE MORAIS (14) | CANDIDA DE MORAES (7) | CENTRO (1)
74463220	29	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	55.2	2	0.941	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (13)	Setor Cândida de Morais (16) | CANDIDA DE MORAES (13)
74463230	20	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	65.0	2	0.941	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (7)	SETOR CÂNDIDA DE MORAIS (13) | CANDIDA DE MORAES (7)
74463240	22	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAES	50.0	3	0.941	CANDIDA DE MORAES (11) | CANDIDA DE MORAIS (10) | JARDIM NOVA ESPERANCA (1)	CANDIDA DE MORAES (11) | SETOR CÂNDIDA DE MORAIS (10) | JARDIM NOVA ESPERANÇA (1)
74463250	8	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	62.5	2	0.941	CANDIDA DE MORAIS (5) | CANDIDA DE MORAES (3)	SETOR CÂNDIDA DE MORAIS (5) | CANDIDA DE MORAES (3)
74463260	23	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	69.6	2	0.941	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (7)	SETOR CÂNDIDA DE MORAIS (15) | CANDIDA DE MORAES (7) | CANDIDA DE MORAIS (1)
74463270	6	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	50.0	3	0.941	CANDIDA DE MORAIS (3) | CANDIDA DE MORAES (2) | SANTOS DUMONT (1)	SETOR CÂNDIDA DE MORAIS (3) | CANDIDA DE MORAES (2) | SANTOS DUMONT (1)
74463280	292	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAES	91.1	4	0.941	CANDIDA DE MORAES (266) | CANDIDA DE MORAIS (22) | JARDIM NOVA ESPERANCA (3) | CANDIDO DE MORAES (1)	CANDIDA DE MORAES (265) | SETOR CÂNDIDA DE MORAIS (22) | JARDIM NOVA ESPERANÇA (3) | SETOR CANDIDA DE MORAES (1) | CANDIDO DE MORAES (1)
74463290	4	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	50.0	3	0.941	CANDIDA DE MORAIS (2) | CANDIDA DE MORAES (1) | CAPUAVA (1)	SETOR CÂNDIDA DE MORAIS (2) | CANDIDA DE MORAES (1) | CAPUAVA (1)
74463317	2	05_BAIRROS_DIFERENTES_REVISAR	CANDIDA DE MORAIS	50.0	2	0.333	CANDIDA DE MORAIS (1) | CAPUAVA (1)	Setor Cândida de Morais (1) | CAPUAVA (1)
74463320	15	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	86.7	2	0.941	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (2)	SETOR CÂNDIDA DE MORAIS (13) | CANDIDA DE MORAES (2)
74463330	16	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	62.5	2	0.941	CANDIDA DE MORAIS (10) | CANDIDA DE MORAES (6)	SETOR CÂNDIDA DE MORAIS (9) | CANDIDA DE MORAES (5) | CÂNDIDA DE MORAIS (1) | SETOR CANDIDA DE MORAES (1)
74463340	16	05_BAIRROS_DIFERENTES_REVISAR	SANTOS DUMONT	75.0	2	0.400	SANTOS DUMONT (12) | CANDIDA DE MORAES (4)	SETOR SANTOS DUMONT (7) | SANTOS DUMONT (5) | CANDIDA DE MORAES (4)
74463375	2	05_BAIRROS_DIFERENTES_REVISAR	CANDIDA DE MORAES	50.0	2	0.400	CANDIDA DE MORAES (1) | SANTOS DUMONT (1)	CANDIDA DE MORAES (1) | SETOR SANTOS DUMONT (1)
74463380	24	05_PRINCIPAL_FORTE_REVISAR	SANTOS DUMONT	95.8	2	0.176	SANTOS DUMONT (23) | JARDIM NOVA ESPERANCA (1)	SETOR SANTOS DUMONT (12) | SANTOS DUMONT (11) | JARDIM NOVA ESPERANCA (1)
74463615	5	05_BAIRROS_DIFERENTES_REVISAR	SANTOS DUMONT	60.0	3	0.400	SANTOS DUMONT (3) | CANDIDA DE MORAIS (1) | JARDIM NOVA ESPERANCA (1)	Setor Santos Dumont (3) | SETOR CÂNDIDA DE MORAIS (1) | Jardim nova esperança (1)
74463850	6	05_PRINCIPAL_FORTE_REVISAR	JARDIM BONANZA	83.3	2	0.370	JARDIM BONANZA (5) | SANTOS DUMONT (1)	Jardim Bonanza (5) | SANTOS DUMONT (1)
74464120	2	04_NOME_PARECIDO_REVISAR	JARDIM NOVO PETROPOLIS	50.0	2	0.872	JARDIM NOVO PETROPOLIS (1) | JARDIM PETROPOLIS (1)	JARDIM NOVO PETRÓPOLIS (1) | JARDIM PETROPOLIS (1)
74464130	4	04_NOME_PARECIDO_REVISAR	JARDIM PETROPOLIS	50.0	2	0.872	JARDIM PETROPOLIS (2) | JARDIM NOVO PETROPOLIS (2)	JARDIM PETROPOLIS (2) | JARDIM NOVO PETRÓPOLIS (2)
74464135	11	04_NOME_PARECIDO_REVISAR	JARDIM NOVO PETROPOLIS	81.8	2	0.872	JARDIM NOVO PETROPOLIS (9) | JARDIM PETROPOLIS (2)	JARDIM NOVO PETRÓPOLIS (9) | JARDIM PETROPOLIS (2)
74464155	4	04_NOME_PARECIDO_REVISAR	RESIDENCIAL 14 BIS EXTENSAO	75.0	2	0.800	RESIDENCIAL 14 BIS EXTENSAO (3) | RESIDENCIAL 14 BIS (1)	RESIDENCIAL 14 BIS EXTENSÃO (3) | RESIDENCIAL 14 BIS (1)
74465010	33	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	JARDIM NOVA ESPERANCA	97.0	2	0.977	JARDIM NOVA ESPERANCA (32) | JARDIM NOVA ESPERANCAA (1)	JARDIM NOVA ESPERANÇA (32) | JARDIM NOVA ESPERANÇAA (1)
74465025	15	05_BAIRROS_DIFERENTES_REVISAR	JARDIM NOVA ESPERANCA	86.7	3	0.368	JARDIM NOVA ESPERANCA (13) | CANDIDA DE MORAES (1) | CANDIDA DE MORAIS (1)	JARDIM NOVA ESPERANÇA (13) | CANDIDA DE MORAES (1) | CANDIDA DE MORAIS (1)
74465050	46	04_NOME_PARECIDO_REVISAR	JARDIM NOVA ESPERANCA	97.8	2	0.800	JARDIM NOVA ESPERANCA (45) | NOVA ESPERANCA (1)	JARDIM NOVA ESPERANÇA (45) | NOVA ESPERANÇA (1)
74465080	2	05_BAIRROS_DIFERENTES_REVISAR	PARQUE TREMENDAO	50.0	2	0.324	PARQUE TREMENDAO (1) | JARDIM NOVA ESPERANCA (1)	PARQUE TREMENDÃO (1) | JARDIM NOVA ESPERANÇA (1)
74465090	4	05_BAIRROS_DIFERENTES_REVISAR	JARDIM NOVA ESPERANCA	75.0	2	0.368	JARDIM NOVA ESPERANCA (3) | PARQUE DAS FLORES (1)	JARDIM NOVA ESPERANÇA (3) | PARQUE DAS FLORES (1)
74465100	81	04_NOME_PARECIDO_REVISAR	JARDIM NOVA ESPERANCA	97.5	3	0.800	JARDIM NOVA ESPERANCA (79) | NOVA ESPERANCA (1) | JARDIM GRAMADO (1)	JARDIM NOVA ESPERANÇA (79) | NOVA ESPERANÇA (1) | JARDIM GRAMADO (1)
74465140	130	06_CEP_AMBIGUO	JARDIM NOVA ESPERANCA	63.8	16	0.556	JARDIM NOVA ESPERANCA (83) | JARDIM COLORADO (13) | JARDIM DAS HORTENCIAS (8) | NOVO PLANALTO (5) | MARABA (4) | CANDIDA DE MORAES (3) | NOROESTE (2) | NOVA ESPERANCA (2) | JARDIM LIBERDADE (2) | MANSOES PARAISO (2) | VILA FINSOCIAL (1) | RESIDENCIAL MANSOES PARAISO (1) | JARDIM HELLOU (1) | PARQUE TREMENDAO (1) | MORADA DO SOL (1) | ALBINO BOAVENTURA (1)	JARDIM NOVA ESPERANÇA (83) | JARDIM COLORADO (13) | JARDIM DAS HORTÊNCIAS (8) | NOVO PLANALTO (5) | SETOR MARABÁ (4) | CANDIDA DE MORAES (3) | SETOR NOROESTE (2) | NOVA ESPERANÇA (2) | JARDIM LIBERDADE (2) | MANSÕES PARAÍSO (2) | VILA FINSOCIAL (1) | RESIDENCIAL MANSOES PARAISO (1) | JARDIM HELLOU (1) | PARQUE TREMENDÃO (1) | MORADA DO SOL (1) | ALBINO BOAVENTURA (1)
74465190	57	04_NOME_PARECIDO_REVISAR	JARDIM NOVA ESPERANCA	98.2	2	0.800	JARDIM NOVA ESPERANCA (56) | NOVA ESPERANCA (1)	JARDIM NOVA ESPERANÇA (56) | NOVA ESPERANÇA (1)
74465215	18	05_PRINCIPAL_FORTE_REVISAR	JARDIM NOVA ESPERANCA	94.4	2	0.216	JARDIM NOVA ESPERANCA (17) | PARQUE TREMENDAO (1)	JARDIM NOVA ESPERANÇA (17) | PARQUE TREMENDAO (1)
74465280	60	05_BAIRROS_DIFERENTES_REVISAR	JARDIM NOVA ESPERANCA	95.0	4	0.176	JARDIM NOVA ESPERANCA (57) | SANTOS DUMONT (1) | CANDIDA DE MORAES (1) | NOVA ESPERANCA (1)	JARDIM NOVA ESPERANÇA (57) | SANTOS DUMONT (1) | CANDIDA DE MORAES (1) | NOVA ESPERANÇA (1)
74465310	24	05_BAIRROS_DIFERENTES_REVISAR	JARDIM NOVA ESPERANCA	87.5	3	0.632	JARDIM NOVA ESPERANCA (21) | JARDIM NOVO MUNDO (2) | BARRA DA TIJUCA (1)	JARDIM NOVA ESPERANÇA (21) | JARDIM NOVO MUNDO (2) | BARRA DA TIJUCA (1)
74465360	6	04_NOME_PARECIDO_REVISAR	JARDIM NOVA ESPERANCA	83.3	2	0.800	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)	JARDIM NOVA ESPERANÇA (5) | NOVA ESPERANÇA (1)
74465390	46	04_NOME_PARECIDO_REVISAR	JARDIM NOVA ESPERANCA	95.7	2	0.800	JARDIM NOVA ESPERANCA (44) | NOVA ESPERANCA (2)	JARDIM NOVA ESPERANCA (44) | NOVA ESPERANÇA (2)
74465445	306	05_BAIRROS_DIFERENTES_REVISAR	JARDIM NOVA ESPERANCA	91.2	3	0.368	JARDIM NOVA ESPERANCA (279) | CANDIDA DE MORAES (26) | JARDIM COLORADO (1)	JARDIM NOVA ESPERANÇA (279) | CANDIDA DE MORAES (26) | JARDIM COLORADO (1)
74465524	19	05_PRINCIPAL_FORTE_REVISAR	MARABA	89.5	2	0.143	MARABA (17) | NOROESTE (2)	SETOR MARABÁ (17) | SETOR NOROESTE (2)
74465527	6	05_PRINCIPAL_FORTE_REVISAR	MARABA	83.3	2	0.214	MARABA (5) | RESIDENCIAL SAO MARCOS (1)	SETOR MARABÁ (5) | RESIDENCIAL SAO MARCOS (1)
74465553	2	05_BAIRROS_DIFERENTES_REVISAR	NOROESTE	50.0	2	0.143	NOROESTE (1) | MARABA (1)	SETOR NOROESTE (1) | SETOR MARABA (1)
74470015	5	05_BAIRROS_DIFERENTES_REVISAR	FAZENDA CAVEIRA	40.0	3	0.222	FAZENDA CAVEIRA (2) | CHACARAS MANSOES ROSAS DE OURO (2) | RESIDENCIAL ANGLO (1)	FAZENDA CAVEIRA (2) | CHACARAS MANSOES ROSAS DE OURO (2) | RESIDENCIAL ANGLO (1)
74470065	2	04_NOME_PARECIDO_REVISAR	RECREIO SAO JOAQUIM	50.0	2	0.760	RECREIO SAO JOAQUIM (1) | CHACARAS DE RECREIO SAO JOAQUIM (1)	RECREIO SÃO JOAQUIM (1) | CHÁCARAS DE RECREIO SÃO JOAQUIM (1)
74470071	3	04_NOME_PARECIDO_REVISAR	CHACARAS MANSOES ROSAS DE OURO	66.7	2	0.824	CHACARAS MANSOES ROSAS DE OURO (2) | MANSOES ROSAS DE OURO (1)	CHACARAS MANSOES ROSAS DE OURO (2) | SETOR MANSÕES ROSAS DE OURO (1)
74470275	3	05_BAIRROS_DIFERENTES_REVISAR	SANTOS DUMONT	33.3	3	0.375	SANTOS DUMONT (1) | RECREIO SAO JOAQUIM (1) | CHACARAS DE RECREIO SAO JOAQUIM (1)	santos dumont (1) | RECREIO SÃO JOAQUIM (1) | Chácaras de Recreio São Joaquim (1)
74470700	10	05_BAIRROS_DIFERENTES_REVISAR	RESIDENCIAL JARDIM HELOU	70.0	2	0.649	RESIDENCIAL JARDIM HELOU (7) | JARDIM HELLOU (3)	RESIDENCIAL JARDIM HELOU (7) | JARDIM HELLOU (3)
74470705	23	05_BAIRROS_DIFERENTES_REVISAR	JARDIM HELLOU	56.5	4	0.649	JARDIM HELLOU (13) | RESIDENCIAL JARDIM HELOU (7) | JARDIM VISTA BELA (2) | JARDIM NOVA ESPERANCA (1)	JARDIM HELLOU (13) | RESIDENCIAL JARDIM HELOU (7) | JARDIM VISTA BELA (2) | JARDIM NOVA ESPERANÇA (1)
74470710	17	06_CEP_AMBIGUO	JARDIM HELLOU	58.8	7	0.649	JARDIM HELLOU (10) | RESIDENCIAL JARDIM HELOU (2) | JARDIM HELOU (1) | JARDIM DAS HORTENCIAS (1) | CHACARAS MANSOES ROSAS DE OURO (1) | JARDIM VISTA BELA (1) | JARDIM CAMARGO (1)	JARDIM HELLOU (10) | RESIDENCIAL JARDIM HELOU (2) | JARDIM HELOU (1) | JARDIM DAS HORTENCIAS (1) | CHACARAS MANSOES ROSAS DE OURO (1) | JARDIM VISTA BELA (1) | JARDIM CAMARGO (1)
74470750	3	05_BAIRROS_DIFERENTES_REVISAR	RESIDENCIAL JARDIM HELOU	66.7	2	0.649	RESIDENCIAL JARDIM HELOU (2) | JARDIM HELLOU (1)	RESIDENCIAL JARDIM HELOU (2) | JARDIM HELLOU (1)
74470760	3	05_BAIRROS_DIFERENTES_REVISAR	JARDIM HELLOU	33.3	3	0.649	JARDIM HELLOU (1) | RESIDENCIAL JARDIM HELOU (1) | JARDIM COLORADO (1)	JARDIM HELLOU (1) | RESIDENCIAL JARDIM HELOU (1) | JARDIM COLORADO (1)
74470825	11	05_BAIRROS_DIFERENTES_REVISAR	JARDIM CAMARGO	63.6	3	0.700	JARDIM CAMARGO (7) | RESIDENCIAL JARDIM CAMARGO (3) | JARDIM COLORADO (1)	JARDIM CAMARGO (7) | RESIDENCIAL JARDIM CAMARGO (3) | JARDIM COLORADO (1)
74470850	17	05_BAIRROS_DIFERENTES_REVISAR	JARDIM CAMARGO	64.7	2	0.700	JARDIM CAMARGO (11) | RESIDENCIAL JARDIM CAMARGO (6)	JARDIM CAMARGO (11) | Residencial Jardim Camargo (6)
74470855	5	05_BAIRROS_DIFERENTES_REVISAR	JARDIM HELLOU	40.0	3	0.593	JARDIM HELLOU (2) | JARDIM CAMARGO (2) | RESIDENCIAL JARDIM CAMARGO (1)	JARDIM HELLOU (2) | JARDIM CAMARGO (2) | RESIDENCIAL JARDIM CAMARGO (1)
74473530	4	04_NOME_PARECIDO_REVISAR	VILA FINSOCIAL	75.0	2	0.783	VILA FINSOCIAL (3) | FINSOCIAL (1)	VILA FINSOCIAL (3) | FINSOCIAL (1)
74473782	3	04_NOME_PARECIDO_REVISAR	VILA FINSOCIAL	66.7	2	0.783	VILA FINSOCIAL (2) | FINSOCIAL (1)	VILA FINSOCIAL (2) | FINSOCIAL (1)
74473792	6	04_NOME_PARECIDO_REVISAR	VILA FINSOCIAL	83.3	2	0.783	VILA FINSOCIAL (5) | FINSOCIAL (1)	VILA FINSOCIAL (5) | FINSOCIAL (1)
74473838	12	05_PRINCIPAL_FORTE_REVISAR	RESIDENCIAL MARINGA	83.3	2	0.235	RESIDENCIAL MARINGA (10) | JARDIM COLORADO (2)	RESIDENCIAL MARINGÁ (10) | JARDIM COLORADO (2)
74474000	6	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	83.3	2	0.258	JARDIM COLORADO (5) | PARQUE TREMENDAO (1)	JARDIM COLORADO (5) | PARQUE TREMENDÃO (1)
74474001	20	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	90.0	3	0.556	JARDIM COLORADO (18) | JARDIM DAS HORTENCIAS (1) | JARDIM VISTA BELA (1)	JARDIM COLORADO (18) | JARDIM DAS HORTENCIAS (1) | JARDIM VISTA BELA (1)
74474003	15	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	93.3	2	0.643	JARDIM COLORADO (14) | JARDIM HELLOU (1)	JARDIM COLORADO (14) | JARDIM HELLOU (1)
74474006	85	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	97.6	3	0.714	JARDIM COLORADO (83) | JARDIM COLORADO QD 12 LT 11 (1) | SAO CARLOS (1)	JARDIM COLORADO (83) | JARDIM COLORADO QD- 12 LT- 11 (1) | SAO CARLOS (1)
74474008	7	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	71.4	3	0.562	JARDIM COLORADO (5) | JARDIM VISTA BELA (1) | PARQUE TREMENDAO (1)	JARDIM COLORADO (5) | JARDIM VISTA BELA (1) | PARQUE TREMENDÃO (1)
74474009	60	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	98.3	2	0.556	JARDIM COLORADO (59) | JARDIM DAS HORTENCIAS (1)	JARDIM COLORADO (59) | JARDIM DAS HORTENCIAS (1)
74474010	12	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	66.7	2	0.556	JARDIM COLORADO (8) | JARDIM DAS HORTENCIAS (4)	JARDIM COLORADO (8) | JARDIM DAS HORTENCIAS (4)
74474011	59	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	96.6	3	0.714	JARDIM COLORADO (57) | RESIDENCIAL JARDIM COLORADO (1) | JARDIM DAS HORTENCIAS (1)	JARDIM COLORADO (57) | RESIDENCIAL JARDIM COLORADO (1) | JARDIM DAS HORTENCIAS (1)
74474015	10	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	90.0	2	0.267	JARDIM COLORADO (9) | MANSOES PARAISO (1)	JARDIM COLORADO (9) | MANSÕES PARAISO (1)
74474017	14	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	92.9	2	0.143	JARDIM COLORADO (13) | NOVO PLANALTO (1)	JARDIM COLORADO (13) | NOVO PLANALTO (1)
74474018	33	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	JARDIM COLORADO	97.0	2	0.938	JARDIM COLORADO (32) | JARDIM COLORADO 1 (1)	JARDIM COLORADO (32) | JARDIM COLORADO 1 (1)
74474022	9	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	88.9	2	0.562	JARDIM COLORADO (8) | JARDIM VISTA BELA (1)	JARDIM COLORADO (8) | JARDIM VISTA BELA (1)
74474023	33	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	97.0	2	0.258	JARDIM COLORADO (32) | PARQUE TREMENDAO (1)	JARDIM COLORADO (32) | PARQUE TREMENDÃO (1)
74474024	11	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	54.5	4	0.643	JARDIM COLORADO (6) | JARDIM HELLOU (2) | JARDIM VISTA BELA (2) | JARDIM CAMARGO (1)	JARDIM COLORADO (6) | JARDIM HELLOU (2) | JARDIM VISTA BELA (2) | JARDIM CAMARGO (1)
74474030	3	04_NOME_PARECIDO_REVISAR	VISTA BELA	66.7	2	0.741	VISTA BELA (2) | JARDIM VISTA BELA (1)	VISTA BELA (1) | SETOR VISTA BELA (1) | JARDIM VISTA BELA (1)
74474031	6	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	83.3	2	0.278	JARDIM COLORADO (5) | RESIDENCIAL FORTALEZA (1)	JARDIM COLORADO (5) | RESIDENCIAL FORTALEZA (1)
74474038	4	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	50.0	2	0.556	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (2)	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (2)
74474040	3	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	66.7	2	0.556	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (1)	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (1)
74474041	9	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	88.9	2	0.143	JARDIM COLORADO (8) | NOVO PLANALTO (1)	JARDIM COLORADO (8) | NOVO PLANALTO (1)
74474047	52	05_PRINCIPAL_FORTE_REVISAR	JARDIM COLORADO	98.1	2	0.370	JARDIM COLORADO (51) | VILA MUTIRAO (1)	JARDIM COLORADO (51) | VILA MUTIRAO (1)
74474048	45	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	95.6	3	0.556	JARDIM COLORADO (43) | JARDIM DAS HORTENCIAS (1) | JARDIM VISTA BELA (1)	JARDIM COLORADO (43) | JARDIM DAS HORTENCIAS (1) | JARDIM VISTA BELA (1)
74474103	34	05_PRINCIPAL_FORTE_REVISAR	JARDIM DAS HORTENCIAS	97.1	2	0.324	JARDIM DAS HORTENCIAS (33) | PARQUE TREMENDAO (1)	JARDIM DAS HORTÊNCIAS (33) | PARQUE TREMENDAO (1)
74474108	3	05_BAIRROS_DIFERENTES_REVISAR	JARDIM DAS HORTENCIAS	66.7	2	0.556	JARDIM DAS HORTENCIAS (2) | JARDIM COLORADO (1)	JARDIM DAS HORTÊNCIAS (2) | JARDIM COLORADO (1)
74474110	4	05_BAIRROS_DIFERENTES_REVISAR	JARDIM DAS HORTENCIAS	75.0	2	0.513	JARDIM DAS HORTENCIAS (3) | JARDIM CURITIBA IV (1)	JARDIM DAS HORTÊNCIAS (3) | JARDIM CURITIBA IV (1)
74474114	3	05_BAIRROS_DIFERENTES_REVISAR	JARDIM DAS HORTENCIAS	66.7	2	0.579	JARDIM DAS HORTENCIAS (2) | JARDIM VISTA BELA (1)	JARDIM DAS HORTENCIAS (2) | JARDIM VISTA BELA (1)
74474115	10	05_PRINCIPAL_FORTE_REVISAR	JARDIM DAS HORTENCIAS	90.0	2	0.350	JARDIM DAS HORTENCIAS (9) | RESIDENCIAL MARINGA (1)	JARDIM DAS HORTÊNCIAS (9) | RESIDENCIAL MARINGÁ (1)
74474119	2	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	50.0	2	0.556	JARDIM COLORADO (1) | JARDIM DAS HORTENCIAS (1)	JARDIM COLORADO (1) | JARDIM DAS HORTÊNCIAS (1)
74474123	17	05_PRINCIPAL_FORTE_REVISAR	JARDIM DAS HORTENCIAS	94.1	2	0.556	JARDIM DAS HORTENCIAS (16) | JARDIM COLORADO (1)	JARDIM DAS HORTENCIAS (16) | JARDIM COLORADO (1)
74474129	12	05_PRINCIPAL_FORTE_REVISAR	JARDIM DAS HORTENCIAS	91.7	2	0.556	JARDIM DAS HORTENCIAS (11) | JARDIM COLORADO (1)	JARDIM DAS HORTÊNCIAS (11) | JARDIM COLORADO (1)
74474136	12	05_PRINCIPAL_FORTE_REVISAR	JARDIM DAS HORTENCIAS	91.7	2	0.324	JARDIM DAS HORTENCIAS (11) | PARQUE TREMENDAO (1)	JARDIM DAS HORTÊNCIAS (11) | PARQUE TREMENDÃO (1)
74474137	7	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	JARDIM DAS HORTENCIAS	85.7	2	0.952	JARDIM DAS HORTENCIAS (6) | JARDIN DAS HORTENCIAS (1)	JARDIM DAS HORTÊNCIAS (5) | JARDIM DAS HORTÊNCIA (1) | JARDIN DAS HORTENCIAS (1)
74474140	25	06_CEP_AMBIGUO	JARDIM DAS HORTENCIAS	64.0	8	0.513	JARDIM DAS HORTENCIAS (16) | JARDIM CURITIBA IV (2) | PARQUE TREMENDAO (2) | PORTAL DAS HORTENCIAS (1) | CANDIDA DE MORAES (1) | RESIDENCIAL GREEN PARK (1) | JARDIM COLORADO (1) | NOVO PLANALTO (1)	JARDIM DAS HORTENCIAS (16) | JARDIM CURITIBA IV (2) | PARQUE TREMENDÃO (2) | PORTAL DAS HORTENCIAS (1) | CANDIDA DE MORAES (1) | RESIDENCIAL GREEN PARK (1) | JARDIM COLORADO (1) | NOVO PLANALTO (1)
74474200	42	05_PRINCIPAL_FORTE_REVISAR	JARDIM VISTA BELA	88.1	2	0.500	JARDIM VISTA BELA (37) | JARDIM COLORADO (5)	JARDIM VISTA BELA (37) | JARDIM COLORADO (5)
74474203	60	06_CEP_AMBIGUO	JARDIM VISTA BELA	90.0	7	0.667	JARDIM VISTA BELA (54) | JARDIM LIBERDADE (1) | NOVO PLANALTO (1) | MANSOES PARAISO (1) | VISTA BELA (1) | JARDIM DAS HORTENCIAS (1) | PARQUE TREMENDAO (1)	JARDIM VISTA BELA (54) | JARDIM LIBERDADE (1) | NOVO PLANALTO (1) | MANSÕES PARAÍSO (1) | VISTA BELA (1) | JARDIM DAS HORTENCIAS (1) | PARQUE TREMENDÃO (1)
74474204	10	05_PRINCIPAL_FORTE_REVISAR	JARDIM VISTA BELA	90.0	2	0.385	JARDIM VISTA BELA (9) | ST MARABA (1)	JARDIM VISTA BELA (9) | ST MARABÁ (1)
74474208	9	05_PRINCIPAL_FORTE_REVISAR	JARDIM VISTA BELA	88.9	2	0.500	JARDIM VISTA BELA (8) | JARDIM COLORADO (1)	JARDIM VISTA BELA (8) | JARDIM COLORADO (1)
74474212	14	05_PRINCIPAL_FORTE_REVISAR	JARDIM VISTA BELA	92.9	2	0.500	JARDIM VISTA BELA (13) | JARDIM COLORADO (1)	JARDIM VISTA BELA (13) | JARDIM COLORADO (1)
74474250	23	05_PRINCIPAL_FORTE_REVISAR	RESIDENCIAL ANGLO	95.7	2	0.312	RESIDENCIAL ANGLO (22) | JARDIM COLORADO (1)	RESIDENCIAL ANGLO (22) | JARDIM COLORADO (1)
74474257	4	05_BAIRROS_DIFERENTES_REVISAR	RESIDENCIAL JARDIM COLORADO	25.0	4	0.652	RESIDENCIAL JARDIM COLORADO (1) | JARDIM COLORADO SUL (1) | RESIDENCIAL ANGLO (1) | JARDIM COLORADO (1)	RESIDENCIAL JARDIM COLORADO (1) | JARDIM COLORADO SUL (1) | RESIDENCIAL ANGLO (1) | JARDIM COLORADO (1)
74474258	2	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	50.0	2	0.250	JARDIM COLORADO (1) | RESIDENCIAL ANGLO (1)	JARDIM COLORADO (1) | RESIDENCIAL ANGLO (1)
